Name,Team,POS,Salary
Benardrick McKinney,HOU,ILB,"$10,163,880"
John Sullivan,LAR,C,"$10,124,999"
Trent Williams,WAS,LT,"$10,053,125"
Kevin Zeitler,CLE,G,"$10,000,000"
Alec Ogletree,NYG,ILB,"$10,000,000"
Joe Haden,PIT,CB,"$10,000,000"
Everson Griffen,MIN,DE,"$10,000,000"
Josh McCown,NYJ,QB,"$10,000,000"
Travis Frederick,DAL,C,"$10,000,000"
Avery Williamson,NYJ,ILB,"$10,000,000"
Ryan Kalil,CAR,C,"$9,750,000"
Reshad Jones,MIA,SS,"$9,735,000"
Donte Moncrief,JAC,WR,"$9,600,000"
Derek Wolfe,DEN,DE,"$9,573,635"
Lane Johnson,PHI,RT,"$9,558,824"
Cameron Jordan,NO,DE,"$9,550,000"
Tahir Whitehead,OAK,OLB,"$9,500,000"
Prince Amukamara,CHI,CB,"$9,500,000"
Vita Vea,TB,DT,"$9,341,264"
Ja'Wuan James,MIA,RT,"$9,341,000"
Randall Cobb,GB,WR,"$9,281,250"
Brandon Linder,JAC,C,"$9,281,250"
Linval Joseph,MIN,DT,"$9,250,000"
Ryan Kerrigan,WAS,OLB,"$9,250,000"
Marqise Lee,JAC,WR,"$9,250,000"
Riley Reiff,MIN,LT,"$9,200,000"
Cameron Wake,MIA,DE,"$9,125,000"
Da'Ron Payne,WAS,DT,"$9,046,080"
Chris Hubbard,CLE,RT,"$9,000,000"
Robert Alford,ATL,CB,"$9,000,000"
Cameron Heyward,PIT,DT,"$9,000,000"
Robert Woods,LAR,WR,"$8,990,019"
Rob Gronkowski,NE,TE,"$8,859,375"
Richard Sherman,SF,CB,"$8,800,000"
Joe Staley,SF,LT,"$8,750,000"
Lavonte David,TB,OLB,"$8,750,000"
Brandon Brooks,PHI,G,"$8,750,000"
Dee Ford,KC,OLB,"$8,718,000"
Deone Bucannon,ARI,OLB,"$8,718,000"
Ryan Shazier,PIT,ILB,"$8,718,000"
C.J. Mosley,BAL,ILB,"$8,718,000"
Doug Baldwin,SEA,WR,"$8,656,250"
Malcolm Jenkins,PHI,FS,"$8,600,000"
Bradley Roby,DEN,CB,"$8,561,717"
Marcus Davenport,NO,DE,"$8,554,105"
Jason Verrett,LAC,CB,"$8,526,000"
Jimmie Ward,SF,FS,"$8,526,000"
Darqueze Dennard,CIN,CB,"$8,526,000"
Earl Thomas,SEA,FS,"$8,500,000"
Alex Mack,ATL,C,"$8,500,000"
Taylor Gabriel,CHI,WR,"$8,500,000"
Brandon Williams,BAL,DT,"$8,500,000"
Jordan Reed,WAS,TE,"$8,453,125"
Rodney Hudson,OAK,C,"$8,450,000"
Trent Murphy,BUF,DE,"$8,381,250"
Kolton Miller,OAK,LT,"$8,357,326"
Emmanuel Sanders,DEN,WR,"$8,269,752"
Justin Britt,SEA,C,"$8,250,000"
Dre Kirkpatrick,CIN,CB,"$8,153,125"
Luke Kuechly,CAR,ILB,"$8,100,059"
Akiem Hicks,CHI,DE,"$8,100,000"
T.J. Lang,DET,G,"$8,093,750"
Travis Kelce,KC,TE,"$8,050,000"
Graham Gano,CAR,K,"$8,050,000"
Chris Harris,DEN,CB,"$8,022,948"
Andre Branch,MIA,DE,"$8,000,000"
Kenny Stills,MIA,WR,"$8,000,000"
Travis Carrie,CLE,CB,"$8,000,000"
DaQuan Jones,TEN,DE,"$8,000,000"
Anthony Castonzo,IND,LT,"$8,000,000"
Mike Pouncey,LAC,C,"$8,000,000"
Harrison Smith,MIN,FS,"$8,000,000"
Kelvin Beachum,NYJ,LT,"$8,000,000"
Sheldon Richardson,MIN,DT,"$8,000,000"
Brent Grimes,TB,CB,"$8,000,000"
Chris Boswell,PIT,K,"$8,000,000"
Mark Barron,LAR,ILB,"$8,000,000"
Devin McCourty,NE,FS,"$8,000,000"
Michael Crabtree,BAL,WR,"$8,000,000"
Kiko Alonso,MIA,OLB,"$7,900,000"
Alshon Jeffery,PHI,WR,"$7,900,000"
David Bakhtiari,GB,LT,"$7,875,000"
Ron Leary,DEN,G,"$7,858,173"
Devon Kennard,DET,OLB,"$7,850,000"
Tremaine Edmunds,BUF,ILB,"$7,766,941"
Brian Orakpo,TEN,OLB,"$7,750,000"
Keenan Allen,LAC,WR,"$7,750,000"
David DeCastro,PIT,G,"$7,580,000"
Derwin James,LAC,S,"$7,570,150"
Albert Wilson,MIA,WR,"$7,500,000"
Jabaal Sheard,IND,DE,"$7,500,000"
Jerry Hughes,BUF,DE,"$7,500,000"
Vince Williams,PIT,ILB,"$7,500,000"
Eric Weddle,BAL,FS,"$7,500,000"
Jimmy Smith,BAL,CB,"$7,494,118"
Ricardo Allen,ATL,FS,"$7,414,000"
Kyle Long,CHI,G,"$7,348,158"
Jaire Alexander,GB,CB,"$7,324,166"
Mike Daniels,GB,DE,"$7,312,500"
Josh Kline,TEN,G,"$7,250,000"
D.J. Hayden,JAC,CB,"$7,250,000"
K.J. Wright,SEA,OLB,"$7,200,000"
Dont'a Hightower,NE,ILB,"$7,195,305"
Leighton Vander Esch,DAL,LB,"$7,176,568"
Frank Ragnow,DET,G,"$7,127,375"
Billy Price,CIN,C,"$7,078,175"
Maurkice Pouncey,PIT,C,"$7,000,000"
Brian Winters,NYJ,G,"$7,000,000"
Marvin Jones,DET,WR,"$7,000,000"
Sean Lee,DAL,OLB,"$7,000,000"
Cameron Brate,TB,TE,"$7,000,000"
Tyrann Mathieu,HOU,FS,"$7,000,000"
Jason Peters,PHI,LT,"$7,000,000"
Brandon Graham,PHI,DE,"$7,000,000"
Mario Addison,CAR,DE,"$7,000,000"
Marshal Yanda,BAL,G,"$7,000,000"
Morris Claiborne,NYJ,CB,"$6,990,625"
Rashaan Evans,TEN,LB,"$6,979,777"
Davante Adams,GB,WR,"$6,968,750"
Rodger Saffold,LAR,G,"$6,950,000"
