Name,Team,POS,Salary
Matthew Stafford,LAR,QB,"$61,500,000"
Josh Allen,BUF,QB,"$46,961,405"
Deshaun Watson,CLE,QB,"$45,655,000"
Aaron Rodgers,GB,QB,"$42,000,000"
Kirk Cousins,MIN,QB,"$40,000,000"
Aaron Donald,LAR,DT,"$31,500,000"
Jaire Alexander,GB,CB,"$31,076,000"
D.K. Metcalf,SEA,WR,"$31,000,000"
Tom Brady,TB,QB,"$30,000,000"
Cooper Kupp,LAR,WR,"$30,000,000"
Kyler Murray,ARI,QB,"$30,000,000"
Terry McLaurin,WAS,WR,"$29,479,000"
Patrick Mahomes,KC,QB,"$29,450,000"
Ryan Tannehill,TEN,QB,"$29,000,000"
Carson Wentz,WAS,QB,"$28,294,119"
Mike Williams,LAC,WR,"$28,000,000"
J.C. Jackson,LAC,CB,"$28,000,000"
Tyreek Hill,MIA,WR,"$26,635,000"
Jared Goff,DET,QB,"$26,150,000"
Jimmy Garoppolo,SF,QB,"$25,600,000"
Travon Walker,JAC,OLB,"$25,065,088"
Deebo Samuel,SF,WR,"$25,000,000"
Derek Carr,LV,QB,"$24,977,519"
Matt Ryan,IND,QB,"$24,705,882"
Stefon Diggs,BUF,WR,"$24,580,000"
A.J. Brown,PHI,WR,"$24,220,000"
Marshon Lattimore,NO,CB,"$24,103,000"
Russell Wilson,DEN,QB,"$24,000,000"
T.J. Watt,PIT,OLB,"$24,000,000"
Aidan Hutchinson,DET,DE,"$23,858,372"
Davante Adams,LV,WR,"$23,350,000"
Derek Stingley Jr.,HOU,CB,"$23,090,464"
Lamar Jackson,BAL,QB,"$23,016,000"
Christian Kirk,JAC,WR,"$22,500,000"
Chris Jones,KC,DT,"$22,374,000"
Ahmad Gardner,NYJ,CB,"$22,212,856"
Minkah Fitzpatrick,PIT,S,"$22,124,235"
Joey Bosa,LAC,OLB,"$21,250,000"
D.J. Humphries,ARI,LT,"$21,065,594"
Denzel Ward,CLE,CB,"$21,035,000"
Frank Ragnow,DET,C,"$20,751,529"
D.J. Moore,CAR,WR,"$20,735,000"
Kayvon Thibodeaux,NYG,DE,"$20,677,028"
Harold Landry,TEN,OLB,"$20,250,000"
Dak Prescott,DAL,QB,"$20,000,000"
