Name,Team,POS,Salary
Dak Prescott,DAL,QB,"$75,000,000 "
Tom Brady,TB,QB,"$39,420,588 "
T.J. Watt,PIT,OLB,"$36,593,470 "
Trent Williams,SF,LT,"$32,311,755 "
Jonathan Allen,WAS,DT,"$31,142,235 "
Leonard Williams,NYG,DE,"$26,000,000 "
Jared Goff,DET,QB,"$25,650,000 "
Jimmy Garoppolo,SF,QB,"$25,405,870 "
Trevor Lawrence,JAC,QB,"$24,778,900 "
Ryan Tannehill,TEN,QB,"$24,500,000 "
Ronnie Stanley,BAL,LT,"$23,750,000 "
Zach Wilson,NYJ,QB,"$23,584,132 "
Shaquille Leonard,IND,ILB,"$23,384,000 "
Matt Ryan,ATL,QB,"$23,000,000 "
Trey Lance,SF,QB,"$22,823,836 "
Patrick Mahomes,KC,QB,"$22,806,905 "
Aaron Rodgers,GB,QB,"$22,664,706 "
Kyle Pitts,ATL,TE,"$21,954,904 "
Myles Garrett,CLE,DE,"$21,684,000 "
Chris Jones,KC,DT,"$21,500,000 "
Carson Wentz,IND,QB,"$21,305,882 "
Tyler Lockett,SEA,WR,"$21,000,000 "
Jamal Adams,SEA,SS,"$21,000,000 "
Kirk Cousins,MIN,QB,"$21,000,000 "
Ryan Ramczyk,NO,RT,"$20,473,216 "
Ja'Marr Chase,CIN,WR,"$20,434,284 "
Josh Allen,BUF,QB,"$20,038,596 "
Matt Judon,NE,OLB,"$20,000,000 "
Matthew Stafford,LAR,QB,"$20,000,000 "
Amari Cooper,DAL,WR,"$20,000,000 "
Shaquil Barrett,TB,OLB,"$20,000,000 "
Trey Hendrickson,CIN,DE,"$19,976,471 "
Aaron Donald,LAR,DT,"$19,892,000 "
Derek Carr,LV,QB,"$19,625,000 "
Russell Wilson,SEA,QB,"$19,000,000 "
Frank Clark,KC,DE,"$19,000,000 "
Marlon Humphrey,BAL,CB,"$18,244,000 "
Kenny Golladay,NYG,WR,"$18,205,870 "
Tre'Davious White,BUF,CB,"$18,111,755 "
Joe Thuney,KC,G,"$18,100,000 "
Brandon Scherff,WAS,G,"$18,036,000 "
Allen Robinson,CHI,WR,"$17,980,000 "
Bud Dupree,TEN,OLB,"$17,911,755 "
Marshon Lattimore,NO,CB,"$17,744,000 "
Jaylen Waddle,MIA,WR,"$17,718,904 "
Jalen Ramsey,LAR,CB,"$17,500,000 "
Braden Smith,IND,RT,"$17,433,000 "
Khalil Mack,CHI,OLB,"$17,246,000 "
Hunter Henry,NE,TE,"$17,000,000 "
DeMarcus Lawrence,DAL,DE,"$17,000,000 "
Corey Linsley,LAC,C,"$17,000,000 "
Justin Simmons,DEN,FS,"$17,000,000 "
DeForest Buckner,IND,DT,"$17,000,000 "
Xavien Howard,MIA,CB,"$16,995,585 "
Jonnu Smith,NE,TE,"$16,941,168 "
William Jackson,WAS,CB,"$16,656,250 "
Joel Bitonio,CLE,G,"$16,558,824 "
Za'Darius Smith,GB,OLB,"$16,529,411 "
Laremy Tunsil,HOU,LT,"$16,150,000 "
Leonard Floyd,LAR,OLB,"$16,000,000 "
Dalvin Tomlinson,MIN,DT,"$16,000,000 "
Fletcher Cox,PHI,DT,"$16,000,000 "
Taylor Moton,CAR,RT,"$16,000,000 "
Chris Godwin,TB,WR,"$15,983,000 "
Adoree' Jackson,NYG,CB,"$15,764,699 "
Mike Williams,LAC,WR,"$15,680,000 "
Tyreek Hill,KC,WR,"$15,600,500 "
D.J. Humphries,ARI,LT,"$15,600,000 "
Penei Sewell,DET,RT,"$15,546,596 "
Chandler Jones,ARI,OLB,"$15,500,000 "
Dion Dawkins,BUF,LT,"$15,300,000 "
Stefon Diggs,BUF,WR,"$15,108,333 "
Romeo Okwara,DET,OLB,"$15,000,000 "
Arik Armstead,SF,DE,"$15,000,000 "
Carl Lawson,NYJ,DE,"$15,000,000 "
Tyrann Mathieu,KC,FS,"$14,800,000 "
Ryan Kelly,IND,C,"$14,650,000 "
Harrison Smith,MIN,FS,"$14,544,115 "
J.J. Watt,ARI,DE,"$14,500,000 "
Trey Flowers,DET,OLB,"$14,375,000 "
James Bradberry,NYG,CB,"$14,250,000 "
Donovan Smith,TB,LT,"$14,250,000 "
Aaron Jones,GB,RB,"$14,226,460 "
Ben Roethlisberger,PIT,QB,"$14,000,000 "
Byron Jones,MIA,CB,"$14,000,000 "
Corey Davis,NYJ,WR,"$14,000,000 "
Shaquill Griffin,JAC,CB,"$13,911,754 "
Cameron Jordan,NO,DE,"$13,900,000 "
Cam Robinson,JAC,LT,"$13,754,000 "
DeAndre Hopkins,ARI,WR,"$13,750,000 "
Joey Bosa,LAC,OLB,"$13,750,000 "
Lane Johnson,PHI,RT,"$13,715,000 "
Grady Jarrett,ATL,DT,"$13,500,000 "
Jerome Baker,MIA,OLB,"$13,420,000 "
Bobby Wagner,SEA,ILB,"$13,400,000 "
Curtis Samuel,WAS,WR,"$13,375,000 "
Jaycee Horn,CAR,CB,"$13,374,288 "
David Bakhtiari,GB,LT,"$13,270,543 "
Patrick Surtain II,DEN,CB,"$13,265,548 "
John Johnson,CLE,SS,"$13,250,000 "
Fred Warner,SF,OLB,"$13,240,000 "
Jarvis Landry,CLE,WR,"$13,211,765 "
Brandin Cooks,HOU,WR,"$13,141,168 "
Matt Milano,BUF,OLB,"$13,044,118 "
Danielle Hunter,MIN,DE,"$13,044,110 "
Yannick Ngakoue,LV,DE,"$13,000,000 "
Cooper Kupp,LAR,WR,"$13,000,000 "
Brandon Graham,PHI,DE,"$13,000,000 "
Taylor Decker,DET,LT,"$13,000,000 "
Keenan Allen,LAC,WR,"$13,000,000 "
Jake Matthews,ATL,LT,"$13,000,000 "
Charles Leno,WAS,LT,"$12,970,588 "
Nick Chubb,CLE,RB,"$12,920,000 "
Michael Thomas,NO,WR,"$12,800,000 "
Jason Pierre-Paul,TB,OLB,"$12,800,000 "
Javon Hargrave,PHI,DT,"$12,750,000 "
Landon Collins,WAS,SS,"$12,718,750 "
Davante Adams,GB,WR,"$12,687,500 "
DeVonta Smith,PHI,WR,"$12,668,284 "
Robert Woods,LAR,WR,"$12,500,000 "
Darius Slay,PHI,CB,"$12,500,000 "
Robbie Anderson,CAR,WR,"$12,500,000 "
Lavonte David,TB,OLB,"$12,500,000 "
Mike Evans,TB,WR,"$12,250,000 "
Taysom Hill,NO,QB,"$12,159,000 "
Duane Brown,SEA,LT,"$11,940,000 "
Nelson Agholor,NE,WR,"$11,882,345 "
Travis Kelce,KC,TE,"$11,805,872 "
Cory Littleton,LV,ILB,"$11,750,000 "
Justin Fields,CHI,QB,"$11,745,060 "
Kevin Byard,TEN,FS,"$11,700,000 "
Taylor Lewan,TEN,LT,"$11,600,000 "
Robert Quinn,CHI,OLB,"$11,600,000 "
Adam Thielen,MIN,WR,"$11,582,343 "
Kolton Miller,LV,LT,"$11,500,000 "
Austin Hooper,CLE,TE,"$11,500,000 "
Marcus Peters,BAL,CB,"$11,468,118 "
Mark Andrews,BAL,TE,"$11,333,055 "
Sam Hubbard,CIN,DE,"$11,191,176 "
Budda Baker,ARI,S,"$11,100,000 "
Terron Armstead,NO,LT,"$10,967,500 "
Dallas Goedert,PHI,TE,"$10,951,635 "
Josh Sweat,PHI,DE,"$10,920,000 "
Shaq Thompson,CAR,OLB,"$10,891,754 "
Jordan Mailata,PHI,LT,"$10,850,000 "
Trae Waynes,CIN,CB,"$10,800,000 "
Marcus Williams,NO,FS,"$10,612,000 "
Marcus Maye,NYJ,FS,"$10,612,000 "
Deshaun Watson,HOU,QB,"$10,540,000 "
Ryan Fitzpatrick,WAS,QB,"$10,537,000 "
Cameron Heyward,PIT,DT,"$10,500,000 "
Tyron Smith,DAL,LT,"$10,500,000 "
Derrick Henry,TEN,RB,"$10,500,000 "
Brandon Brooks,PHI,G,"$10,500,000 "
Akiem Hicks,CHI,DE,"$10,500,000 "
Micah Parsons,DAL,ILB,"$10,441,668 "
Michael Davis,LAC,CB,"$10,352,935 "
Halapoulivaati Vaitai,DET,G,"$10,335,000 "
Ali Marpet,TB,G,"$10,250,000 "
Ndamukong Suh,TB,DT,"$10,200,000 "
Rashawn Slater,LAC,LT,"$10,115,824 "
Gabe Jackson,SEA,G,"$10,075,000 "
Derek Barnett,PHI,DE,"$10,051,000 "
Calais Campbell,BAL,DE,"$10,000,000 "
Kendall Fuller,WAS,CB,"$10,000,000 "
Kevin Zeitler,BAL,G,"$10,000,000 "
Jordan Phillips,ARI,DT,"$10,000,000 "
Micah Hyde,BUF,SS,"$10,000,000 "
Andy Dalton,CHI,QB,"$10,000,000 "
Jack Conklin,CLE,RT,"$10,000,000 "
