Name,Team,POS,Salary
Matthew Stafford,DET,QB,"$51,000,000"
Andrew Luck,IND,QB,"$27,000,000"
Derek Carr,OAK,QB,"$25,175,000"
DeAndre Hopkins,HOU,WR,"$24,000,000"
Kirk Cousins,WAS,QB,"$23,950,935"
Josh Norman,WAS,CB,"$23,937,500"
Cam Newton,CAR,QB,"$23,666,666"
Melvin Ingram,LAC,OLB,"$22,750,000"
Jason Pierre-Paul,NYG,DE,"$22,500,000"
Chandler Jones,ARI,OLB,"$22,000,000"
Joe Flacco,BAL,QB,"$21,000,000"
Nick Perry,GB,OLB,"$20,725,000"
Myles Garrett,CLE,DE,"$20,723,004"
Xavier Rhodes,MIN,CB,"$20,026,000"
Ndamukong Suh,MIA,DT,"$20,000,000"
Kawann Short,CAR,DT,"$20,000,000"
Solomon Thomas,SF,DE,"$19,080,903"
Davante Adams,GB,WR,"$18,961,963"
Leonard Fournette,JAC,RB,"$18,351,067"
Sam Bradford,MIN,QB,"$18,000,959"
Ryan Tannehill,MIA,QB,"$18,000,000"
Kevin Zeitler,CLE,G,"$18,000,000"
Carson Palmer,ARI,QB,"$17,500,000"
Ricky Wagner,DET,RT,"$17,500,000"
Riley Reiff,MIN,LT,"$17,300,000"
Corey Davis,TEN,WR,"$17,073,864"
Antonio Brown,PIT,WR,"$17,010,000"
Stephon Gilmore,NE,CB,"$16,906,250"
Trumaine Johnson,LAR,CB,"$16,742,400"
Desmond Trufant,ATL,CB,"$16,526,000"
Von Miller,DEN,OLB,"$16,500,000"
Justin Houston,KC,OLB,"$16,500,000"
Devonta Freeman,ATL,RB,"$16,297,000"
Akiem Hicks,CHI,DE,"$16,200,000"
Brandon Williams,BAL,DT,"$16,000,000"
Alshon Jeffery,PHI,WR,"$16,000,000"
Mike Glennon,CHI,QB,"$16,000,000"
Pierre Garcon,SF,WR,"$15,900,000"
Jamie Collins,CLE,OLB,"$15,850,000"
Trai Turner,CAR,G,"$15,797,000"
Matt Ryan,ATL,QB,"$15,750,000"
Jurrell Casey,TEN,DT,"$15,600,000"
Michael Bennett,SEA,DE,"$15,500,000"
Doug Baldwin,SEA,WR,"$15,250,000"
Tom Brady,NE,QB,"$15,000,000"
Calais Campbell,JAC,DE,"$15,000,000"
Muhammad Wilkerson,NYJ,DE,"$15,000,000"
Tavon Austin,LAR,WR,"$14,977,116"
Dre Kirkpatrick,CIN,CB,"$14,968,750"
Mitchell Trubisky,CHI,QB,"$14,906,490"
