Name,Team,POS,Salary
Drew Brees,NO,QB,"$31,250,000"
Andrew Luck,IND,QB,"$30,000,000"
Olivier Vernon,NYG,DE,"$29,000,000"
Joe Flacco,BAL,QB,"$29,000,000"
Fletcher Cox,PHI,DT,"$27,299,000"
Von Miller,DEN,OLB,"$25,100,000"
Justin Houston,KC,OLB,"$23,500,000"
Philip Rivers,SD,QB,"$22,000,000"
Muhammad Wilkerson,NYJ,DE,"$22,000,000"
Brock Osweiler,HOU,QB,"$21,000,000"
Demaryius Thomas,DEN,WR,"$20,000,000"
Cam Newton,CAR,QB,"$20,000,000"
Kirk Cousins,WAS,QB,"$19,953,000"
Cordy Glenn,BUF,LT,"$19,000,000"
Jared Goff,LAR,QB,"$18,968,308"
Carson Palmer,ARI,QB,"$18,500,000"
David DeCastro,PIT,G,"$18,070,000"
Carson Wentz,PHI,QB,"$18,050,973"
Malik Jackson,JAC,DT,"$18,000,000"
Eli Manning,NYG,QB,"$18,000,000"
Ben Roethlisberger,PIT,QB,"$17,750,000"
Darrelle Revis,NYJ,CB,"$17,000,000"
Matthew Stafford,DET,QB,"$17,000,000"
Ezekiel Elliott,DAL,RB,"$16,800,066"
David Bakhtiari,GB,LT,"$16,757,117"
Tyrann Mathieu,ARI,FS,"$16,671,407"
Janoris Jenkins,NYG,CB,"$16,000,000"
Dez Bryant,DAL,WR,"$16,000,000"
Jay Cutler,CHI,QB,"$16,000,000"
Matt Ryan,ATL,QB,"$15,750,000"
Jalen Ramsey,JAC,CB,"$15,632,546"
Darius Slay,DET,CB,"$15,631,250"
Harrison Smith,MIN,FS,"$15,278,000"
Keenan Allen,SD,WR,"$15,171,000"
Joey Bosa,SD,DE,"$14,914,642"
Trent Williams,WAS,LT,"$14,909,914"
Tom Brady,NE,QB,"$14,774,301"
Colin Kaepernick,SF,QB,"$14,300,000"
Alex Smith,KC,QB,"$14,200,000"
Trumaine Johnson,LAR,CB,"$13,952,000"
Ronnie Stanley,BAL,LT,"$13,547,695"
Kelechi Osemele,OAK,G,"$13,500,000"
Julio Jones,ATL,WR,"$13,500,000"
Ndamukong Suh,MIA,DT,"$13,500,000"
Eric Fisher,KC,LT,"$13,425,000"
Marcell Dareus,BUF,DT,"$13,291,176"
Emmanuel Sanders,DEN,WR,"$13,250,000"
Alex Mack,ATL,C,"$13,250,000"
Ryan Kalil,CAR,C,"$13,250,000"
Marvin Jones,DET,WR,"$13,000,000"
Damon Harrison,NYG,DT,"$13,000,000"
Josh Norman,WAS,CB,"$13,000,000"
Aaron Rodgers,GB,QB,"$12,600,000"
Richard Sherman,SEA,CB,"$12,569,000"
Brandon Marshall,DEN,ILB,"$12,553,000"
Kyle Long,CHI,G,"$12,509,790"
Bruce Irvin,OAK,OLB,"$12,500,000"
Gerald McCoy,TB,DT,"$12,500,000"
Derek Wolfe,DEN,DE,"$12,487,500"
Russell Wilson,SEA,QB,"$12,342,000"
Adrian Peterson,MIN,RB,"$12,001,848"
Brandon Brooks,PHI,G,"$12,000,000"
Ryan Fitzpatrick,NYJ,QB,"$12,000,000"
Dwayne Allen,IND,TE,"$11,937,500"
DeForest Buckner,SF,DT,"$11,879,814"
Terron Armstead,NO,LT,"$11,721,000"
Lane Johnson,PHI,RT,"$11,538,712"
Charles Clay,BUF,TE,"$11,500,000"
Alshon Jeffery,CHI,WR,"$11,163,940"
Matt Kalil,MIN,LT,"$11,096,000"
Stephon Gilmore,BUF,CB,"$11,082,000"
Vinny Curry,PHI,DE,"$11,000,000"
Larry Fitzgerald,ARI,WR,"$11,000,000"
Michael Crabtree,OAK,WR,"$11,000,000"
Sean Smith,OAK,CB,"$11,000,000"
Eric Berry,KC,FS,"$10,806,000"
Marcus Cannon,NE,RT,"$10,715,643"
Andy Dalton,CIN,QB,"$10,700,000"
Jerry Hughes,BUF,DE,"$10,675,000"
Travis Kelce,KC,TE,"$10,646,000"
J.J. Watt,HOU,DE,"$10,500,000"
Jordan Reed,WAS,TE,"$10,468,750"
Antonio Brown,PIT,WR,"$10,250,000"
Jack Conklin,TEN,RT,"$10,211,933"
Robert Quinn,LAR,OLB,"$10,202,019"
Joe Haden,CLE,CB,"$10,200,000"
Leonard Floyd,CHI,OLB,"$10,128,444"
Danny Trevathan,CHI,ILB,"$10,100,000"
Devin McCourty,NE,FS,"$10,038,662"
Joe Staley,SF,LT,"$10,006,250"
Malcolm Jenkins,PHI,FS,"$10,000,000"
Mark Barron,LAR,ILB,"$10,000,000"
Jeremy Maclin,KC,WR,"$10,000,000"
Patrick Peterson,ARI,CB,"$10,000,000"
Jeff Allen,HOU,G,"$10,000,000"
Tyron Smith,DAL,LT,"$10,000,000"
Lavonte David,TB,OLB,"$10,000,000"
A.J. Green,CIN,WR,"$10,000,000"
Vincent Jackson,TB,WR,"$9,777,777"
Calais Campbell,ARI,DE,"$9,750,000"
Jason Pierre-Paul,NYG,DE,"$9,700,000"
Eli Apple,NYG,CB,"$9,669,869"
Cameron Jordan,NO,DE,"$9,600,000"
Clay Matthews Jr.,GB,OLB,"$9,525,000"
Tyrod Taylor,BUF,QB,"$9,506,240"
Brandon Marshall,NYJ,WR,"$9,500,000"
Joe Thomas,CLE,LT,"$9,500,000"
J.R. Sweezy,TB,G,"$9,500,000"
Navorro Bowman,SF,ILB,"$9,426,470"
Ryan Tannehill,MIA,QB,"$9,340,000"
Michael Brockers,LAR,DT,"$9,146,000"
Zach Ertz,PHI,TE,"$9,138,527"
Mike Pouncey,MIA,C,"$9,025,000"
Adam-Pacman Jones,CIN,CB,"$9,000,000"
Rodney McLeod,PHI,FS,"$9,000,000"
T.Y. Hilton,IND,WR,"$9,000,000"
Jimmy Graham,SEA,TE,"$9,000,000"
Allen Hurns,JAC,WR,"$9,000,000"
Eric Weddle,BAL,FS,"$9,000,000"
Vernon Hargreaves,TB,CB,"$8,961,026"
Aqib Talib,DEN,CB,"$8,906,250"
Sam Shields,GB,CB,"$8,875,000"
Coby Fleener,NO,TE,"$8,841,169"
Jason Peters,PHI,LT,"$8,800,000"
Lawrence Timmons,PIT,ILB,"$8,750,000"
Nick Mangold,NYJ,C,"$8,600,000"
Corey Liuget,SD,DT,"$8,500,000"
Lamar Miller,HOU,RB,"$8,500,000"
Tony Romo,DAL,QB,"$8,500,000"
Byron Maxwell,MIA,CB,"$8,500,000"
Mario Williams,MIA,DE,"$8,500,000"
Branden Albert,MIA,LT,"$8,450,000"
Max Unger,NO,C,"$8,106,240"
Riley Reiff,DET,LT,"$8,070,000"
