Name,Team,POS,Salary
Eli Manning,NYG,QB,"$37,010,004 "
Ben Roethlisberger,PIT,QB,"$35,257,482 "
Philip Rivers,SD,QB,"$32,007,656 "
Russell Wilson,SEA,QB,"$31,722,469 "
A.J. Green,CIN,WR,"$26,750,000 "
Ndamukong Suh,MIA,DT,"$26,500,000 "
Marcell Dareus,BUF,DT,"$25,176,470 "
Cam Newton,CAR,QB,"$24,000,000 "
Julio Jones,ATL,WR,"$22,010,829 "
Jay Cutler,CHI,QB,"$20,506,780 "
Luke Kuechly,CAR,ILB,"$20,000,000 "
J.J. Watt,HOU,DE,"$19,969,000 "
Ryan Kerrigan,WAS,OLB,"$19,057,176 "
Drew Brees,NO,QB,"$19,005,422 "
Peyton Manning,DEN,QB,"$19,000,000 "
Anthony Castonzo,IND,LT,"$18,000,000 "
Tony Romo,DAL,QB,"$17,002,458 "
Cameron Jordan,NO,DE,"$17,001,067 "
Marcus Mariota,TEN,QB,"$16,330,324 "
Cameron Heyward,PIT,DT,"$16,027,707 "
Darrelle Revis,NYJ,CB,"$16,011,630 "
Dez Bryant,DAL,WR,"$16,000,000 "
LeSean McCoy,BUF,RB,"$16,000,000 "
Robert Quinn,STL,OLB,"$15,792,100 "
Dante Fowler Jr.,JAC,DE,"$15,661,820 "
Amari Cooper,OAK,WR,"$15,208,644 "
Randall Cobb,GB,WR,"$15,127,948 "
Trent Williams,WAS,LT,"$15,111,383 "
Julius Thomas,JAC,TE,"$15,100,000 "
Rob Gronkowski,NE,TE,"$15,014,803 "
Demaryius Thomas,DEN,WR,"$15,000,000 "
Kareem Jackson,HOU,CB,"$14,187,500 "
Brandon Scherff,WAS,G,"$14,161,626 "
Gerald McCoy,TB,DT,"$14,008,033 "
Mario Williams,BUF,DE,"$14,000,000 "
Nate Solder,NE,LT,"$13,938,000 "
Corey Liuget,SD,DT,"$13,633,112 "
Mike Daniels,GB,DT,"$13,576,475 "
Byron Maxwell,PHI,CB,"$13,517,403 "
Jimmy Smith,BAL,CB,"$13,388,235 "
Tom Brady,NE,QB,"$13,010,663 "
Rodney Hudson,OAK,C,"$13,008,716 "
DeAndre Levy,DET,OLB,"$13,000,591 "
Greg Olsen,CAR,TE,"$13,000,000 "
Justin Houston,KC,OLB,"$13,000,000 "
Jeremy Maclin,KC,WR,"$13,000,000 "
Adrian Peterson,MIN,RB,"$13,000,000 "
Charles Clay,BUF,TE,"$13,000,000 "
Sam Bradford,PHI,QB,"$12,998,119 "
Devin McCourty,NE,FS,"$12,937,500 "
Calvin Johnson,DET,WR,"$12,500,000 "
Leonard Williams,NYJ,DE,"$12,296,300 "
Ryan Tannehill,MIA,QB,"$12,160,000 "
Colin Kaepernick,SF,QB,"$12,054,920 "
Marshawn Lynch,SEA,RB,"$12,005,467 "
Alex Smith,KC,QB,"$12,000,000 "
Jerry Hughes,BUF,DE,"$11,775,000 "
Patrick Peterson,ARI,CB,"$11,731,541 "
Aaron Rodgers,GB,QB,"$11,608,773 "
Carson Palmer,ARI,QB,"$11,521,480 "
Mike Iupati,ARI,G,"$11,519,857 "
Matt Ryan,ATL,QB,"$11,507,925 "
Jameis Winston,TB,QB,"$11,320,269 "
Marshal Yanda,BAL,G,"$11,231,764 "
Joe Staley,SF,LT,"$11,219,138 "
Tyron Smith,DAL,LT,"$11,039,000 "
Orlando Franklin,SD,G,"$11,019,588 "
Larry Fitzgerald,ARI,WR,"$11,013,887 "
Joe Flacco,BAL,QB,"$11,000,000 "
T.Y. Hilton,IND,WR,"$11,000,000 "
Mike Pouncey,MIA,C,"$11,000,000 "
Kevin White,CHI,WR,"$10,740,852 "
Tyrone Crawford,DAL,DE,"$10,685,000 "
Brandon Flowers,SD,CB,"$10,273,068 "
Thomas Davis,CAR,OLB,"$10,250,000 "
Torrey Smith,SF,WR,"$10,030,450 "
Richard Sherman,SEA,CB,"$10,014,191 "
Chris Long,STL,DE,"$10,006,160 "
Charles Johnson,CAR,DE,"$10,002,843 "
Vontae Davis,IND,CB,"$10,000,000 "
Ryan Clady,DEN,LT,"$10,000,000 "
