Name,Team,POS,Salary
Russell Wilson,SEA,QB,"$53,000,000"
Joey Bosa,LAC,DE,"$43,020,731"
Kirk Cousins,MIN,QB,"$40,028,856"
Carson Wentz,PHI,QB,"$39,383,000"
Ryan Tannehill,TEN,QB,"$37,500,000"
David Bakhtiari,GB,LT,"$36,956,797"
Dak Prescott,DAL,QB,"$31,414,653"
Jared Goff,LAR,QB,"$31,063,078"
Ronnie Stanley,BAL,LT,"$30,879,358"
Deshaun Watson,HOU,QB,"$29,417,363"
Frank Clark,KC,DE,"$28,417,047"
Tom Brady,TB,QB,"$28,375,000"
DeAndre Hopkins,ARI,WR,"$27,228,881"
Kenny Clark,GB,DT,"$26,745,497"
Jalen Ramsey,LAR,CB,"$26,290,079"
Byron Jones,MIA,CB,"$26,032,092"
Ben Roethlisberger,PIT,QB,"$26,000,000"
Philip Rivers,IND,QB,"$25,026,666"
Drew Brees,NO,QB,"$25,000,000"
Jimmy Garoppolo,SF,QB,"$24,700,000"
Joe Burrow,CIN,QB,"$24,472,367"
Teddy Bridgewater,CAR,QB,"$23,982,702"
Laremy Tunsil,HOU,LT,"$23,889,155"
DeForest Buckner,IND,DT,"$23,401,981"
Chase Young,WAS,DE,"$23,307,160"
Jeff Okudah,DET,CB,"$22,559,266"
Christian McCaffrey,CAR,RB,"$22,337,274"
D.J. Reader,CIN,DT,"$22,265,588"
Julio Jones,ATL,WR,"$22,213,963"
Marlon Humphrey,BAL,CB,"$22,153,145"
Garett Bolles,DEN,LT,"$22,041,255"
Myles Garrett,CLE,DE,"$21,914,442"
Cameron Heyward,PIT,DT,"$21,750,000"
Andrew Thomas,NYG,RT,"$21,694,064"
Aaron Rodgers,GB,QB,"$21,578,775"
Trenton Brown,LV,RT,"$21,509,336"
Michael Thomas,NO,WR,"$21,000,000"
Matt Ryan,ATL,QB,"$20,535,214"
Tua Tagovailoa,MIA,QB,"$20,250,979"
George Kittle,SF,TE,"$20,133,000"
Jack Conklin,CLE,RT,"$20,086,825"
Amari Cooper,DAL,WR,"$20,038,777"
Trae Waynes,CIN,CB,"$20,000,000"
Arik Armstead,SF,DE,"$20,000,000"
Ezekiel Elliott,DAL,RB,"$19,835,587"
Keenan Allen,LAC,WR,"$19,297,527"
Derek Carr,LV,QB,"$19,030,794"
Bobby Wagner,SEA,ILB,"$19,000,000"
Tre'Davious White,BUF,CB,"$18,805,740"
Robert Quinn,CHI,OLB,"$18,553,868"
A.J. Green,CIN,WR,"$18,196,490"
Von Miller,DEN,OLB,"$18,000,000"
Justin Herbert,LAC,QB,"$17,617,002"
Khalil Mack,CHI,OLB,"$17,220,423"
Anthony Castonzo,IND,LT,"$17,030,131"
Aaron Donald,LAR,DT,"$17,020,228"
DeMarcus Lawrence,DAL,DE,"$16,936,491"
Matt Judon,BAL,OLB,"$16,827,928"
