Name,Team,POS,Salary
Aaron Rodgers,GB,QB,"$38,250,000"
Joe Flacco,BAL,QB,"$30,000,000"
Tony Romo,DAL,QB,"$26,500,000"
Calvin Johnson,DET,WR,"$25,005,000"
Peyton Manning,DEN,QB,"$25,000,000"
Clay Matthews Jr.,GB,OLB,"$22,950,000"
Gosder Cherilus,IND,RT,"$20,000,000"
Geno Atkins,CIN,DT,"$19,000,000"
Matthew Stafford,DET,QB,"$18,500,000"
Dwayne Bowe,KC,WR,"$16,000,000"
Darrelle Revis,TB,CB,"$16,000,000"
Matt Ryan,ATL,QB,"$15,000,000"
Ryan Clady,DEN,LT,"$15,000,000"
Mario Williams,BUF,DE,"$15,000,000"
Eric Fisher,KC,LT,"$14,923,544"
Percy Harvin,SEA,WR,"$14,500,000"
Jared Allen,MIN,DE,"$14,480,612"
Brandon Carr,DAL,CB,"$14,300,000"
Luke Joeckel,JAC,G,"$14,204,344"
Cortland Finnegan,STL,CB,"$14,000,000"
Dion Jordan,MIA,DE,"$13,746,680"
William Beatty,NYG,LT,"$13,550,000"
Eli Manning,NYG,QB,"$13,500,000"
Calais Campbell,ARI,DE,"$13,250,000"
James Laurinaitis,STL,ILB,"$13,250,000"
Julius Peppers,CHI,DE,"$13,200,000"
Chris Long,STL,DE,"$13,050,000"
Tom Brady,NE,QB,"$13,000,000"
Carlos Dunlap,CIN,DE,"$13,000,000"
Greg Jennings,MIN,WR,"$13,000,000"
Paul Kruger,CLE,OLB,"$13,000,000"
Andy Levitre,TEN,G,"$13,000,000"
Tamba Hali,KC,OLB,"$12,500,000"
Carl Nicks,TB,G,"$12,500,000"
Lane Johnson,PHI,RT,"$12,469,583"
Ezekiel Ansah,DET,DE,"$12,308,272"
Ndamukong Suh,DET,DT,"$12,275,000"
Michael Vick,PHI,QB,"$12,200,000"
Mike Wallace,MIA,WR,"$12,050,000"
Philip Rivers,SD,QB,"$12,000,000"
Desmond Bryant,CLE,DE,"$12,000,000"
Jermon Bushrod,CHI,G,"$11,815,000"
Ben Roethlisberger,PIT,QB,"$11,600,000"
Adrian Peterson,MIN,RB,"$11,500,000"
Eric Wood,BUF,C,"$11,200,000"
Michael Johnson,CIN,DE,"$11,175,000"
Sam Baker,ATL,LT,"$11,000,000"
David Harris,NYJ,ILB,"$11,000,000"
LaRon Landry,IND,S,"$11,000,000"
Champ Bailey,DEN,CB,"$10,750,000"
Barkevious Mingo,CLE,OLB,"$10,673,728"
Sean Lee,DAL,OLB,"$10,630,000"
Anthony Spencer,DAL,OLB,"$10,627,200"
Andre Johnson,HOU,WR,"$10,583,333"
William Moore,ATL,SS,"$10,500,000"
Jason Peters,PHI,LT,"$10,500,000"
Joe Thomas,CLE,LT,"$10,200,000"
Victor Cruz,NYG,WR,"$10,130,000"
Phillip Loadholt,MIN,RT,"$10,000,000"
Ryan Kalil,CAR,C,"$10,000,000"
Chris Johnson,TEN,RB,"$10,000,000"
Drew Brees,NO,QB,"$10,000,000"
Zach Miller,SEA,TE,"$10,000,000"
Branden Albert,KC,LT,"$9,828,000"
Alex Smith,KC,QB,"$9,750,000"
Morgan Burnett,GB,SS,"$9,573,000"
Antonio Cromartie,NYJ,CB,"$9,500,000"
Tyvon Branch,OAK,SS,"$9,500,000"
Jonathan Cooper,ARI,G,"$9,366,092"
Brandon Marshall,CHI,WR,"$9,300,000"
LaMarr Woodley,PIT,OLB,"$9,000,000"
Sam Bradford,STL,QB,"$9,000,000"
Jay Cutler,CHI,QB,"$8,970,000"
Mark Sanchez,NYJ,QB,"$8,750,000"
Dashon Goldson,TB,FS,"$8,735,295"
Sidney Rice,SEA,WR,"$8,500,000"
Brian Robison,MIN,DE,"$8,500,000"
Elvis Dumervil,BAL,OLB,"$8,500,000"
Randy Starks,MIA,DE,"$8,450,000"
Henry Melton,CHI,DT,"$8,450,000"
Anthony Davis,SF,RT,"$8,380,000"
Danny Amendola,NE,WR,"$8,375,000"
Gerald McCoy,TB,DT,"$8,321,250"
Sebastian Vollmer,NE,RT,"$8,250,000"
Jermichael Finley,GB,TE,"$8,250,000"
Mike Williams,TB,WR,"$8,200,000"
Justin Smith,SF,DE,"$8,100,000"
Tavon Austin,STL,WR,"$8,058,456"
Dannell Ellerbe,MIA,OLB,"$8,025,000"
D'Brickashaw Ferguson,NYJ,LT,"$8,000,000"
Carson Palmer,ARI,QB,"$8,000,000"
Charles Tillman,CHI,CB,"$8,000,000"
Philip Wheeler,MIA,OLB,"$8,000,000"
Jake Long,STL,LT,"$8,000,000"
Jared Cook,STL,TE,"$8,000,000"
Dee Milliner,NYJ,CB,"$7,993,000"
Ray Rice,BAL,RB,"$7,941,176"
Lawrence Timmons,PIT,ILB,"$7,875,000"
Brian Cushing,HOU,ILB,"$7,814,911"
Brian Hartline,MIA,WR,"$7,715,000"
Chance Warmack,TEN,G,"$7,633,472"
Brandon Flowers,KC,CB,"$7,600,000"
Chris Houston,DET,CB,"$7,500,000"
Troy Polamalu,PIT,S,"$7,500,000"
Santonio Holmes,NYJ,WR,"$7,500,000"
Kyle Arrington,NE,CB,"$7,500,000"
Sean Smith,KC,CB,"$7,500,000"
Johnathan Joseph,HOU,CB,"$7,500,000"
Jahri Evans,NO,G,"$7,400,000"
Lardarius Webb,BAL,CB,"$7,385,000"
Kam Chancellor,SEA,SS,"$7,325,000"
Stevie Johnson,BUF,WR,"$7,325,000"
Eric Berry,KC,FS,"$7,309,000"
Russell Okung,SEA,LT,"$7,260,000"
Antrel Rolle,NYG,SS,"$7,250,000"
Matt Schaub,HOU,QB,"$7,250,000"
Joe Haden,CLE,CB,"$7,136,429"
D.J. Fluker,SD,G,"$7,077,730"
Keenan Lewis,NO,CB,"$7,050,000"
Marshawn Lynch,SEA,RB,"$7,000,000"
Tony Gonzalez,ATL,TE,"$7,000,000"
Antonio Brown,PIT,WR,"$7,000,000"
Vince Wilfork,NE,DT,"$7,000,000"
DeSean Jackson,PHI,WR,"$7,000,000"
Andre Smith,CIN,G,"$7,000,000"
Chad Greenway,MIN,OLB,"$7,000,000"
Robert Mathis,IND,OLB,"$7,000,000"
Charles Johnson,CAR,DE,"$7,000,000"
Louis Vasquez,DEN,G,"$7,000,000"
Jairus Byrd,BUF,FS,"$6,916,000"
Alan Branch,BUF,DT,"$6,875,000"
Miles Austin,DAL,WR,"$6,732,000"
Chris Snee,NYG,G,"$6,700,000"
DeMeco Ryans,PHI,ILB,"$6,700,000"
Darren McFadden,OAK,RB,"$6,678,584"
Vernon Davis,SF,TE,"$6,672,000"
Roddy White,ATL,WR,"$6,600,000"
Red Bryant,SEA,DE,"$6,600,000"
Leon Hall,CIN,CB,"$6,600,000"
DeMarcus Ware,DAL,OLB,"$6,500,000"
Ricky Jean Francois,IND,DT,"$6,500,000"
Tramon Williams,GB,CB,"$6,500,000"
Paul Posluszny,JAC,OLB,"$6,500,000"
Frank Gore,SF,RB,"$6,450,000"
Terrell Suggs,BAL,OLB,"$6,400,000"
D.J. Hayden,OAK,CB,"$6,293,144"
Matt Forte,CHI,RB,"$6,268,750"
Glover Quin,DET,FS,"$6,250,000"
Ryan Pickett,GB,DT,"$6,200,000"
Ahtyba Rubin,CLE,DT,"$6,200,000"
Wes Welker,DEN,WR,"$6,150,000"
Nick Mangold,NYJ,C,"$6,110,000"
Curtis Lofton,NO,ILB,"$6,100,000"
Leodis McKelvin,BUF,CB,"$6,050,000"
Chris Clemons,SEA,DE,"$6,000,000"
Anquan Boldin,SF,WR,"$6,000,000"
Cliff Avril,SEA,DE,"$6,000,000"
Eric Weddle,SD,FS,"$6,000,000"
Logan Mankins,NE,G,"$6,000,000"
Derek Cox,SD,CB,"$6,000,000"
Reggie Wayne,IND,WR,"$6,000,000"
Michael Roos,TEN,LT,"$6,000,000"
Donald Penn,TB,LT,"$6,000,000"
Davin Joseph,TB,G,"$6,000,000"
Robbie Gould,CHI,K,"$5,925,000"
Pierre Garcon,WAS,WR,"$5,906,250"
Star Lotulelei,CAR,DT,"$5,770,092"
Sheldon Richardson,NYJ,DT,"$5,762,176"
Cary Williams,PHI,CB,"$5,750,000"
Thomas Davis,CAR,OLB,"$5,750,000"
Anthony Fasano,KC,TE,"$5,750,000"
Paul Soliai,MIA,DT,"$5,750,000"
Lance Briggs,CHI,OLB,"$5,750,000"
Delanie Walker,TEN,TE,"$5,650,000"
Kraig Urbik,BUF,G,"$5,650,000"
Antonio Smith,HOU,DE,"$5,647,059"
Reshad Jones,MIA,SS,"$5,630,000"
Jason Witten,DAL,TE,"$5,500,000"
London Fletcher,WAS,ILB,"$5,500,000"
Jordan Gross,CAR,LT,"$5,500,000"
Brent Grimes,MIA,CB,"$5,500,000"
Arian Foster,HOU,RB,"$5,500,000"
Scott Wells,STL,C,"$5,500,000"
Martellus Bennett,CHI,TE,"$5,315,000"
Sebastian Janikowski,OAK,K,"$5,300,000"
Ben Grubbs,NO,G,"$5,300,000"
Steven Jackson,ATL,RB,"$5,250,000"
Larry Fitzgerald,ARI,WR,"$5,250,000"
E.J. Manuel,BUF,QB,"$5,247,036"
Dwight Freeney,SD,OLB,"$5,187,500"
Jarvis Jones,PIT,OLB,"$5,116,272"
Mike DeVito,KC,DE,"$5,100,000"
Tramaine Brock,SF,CB,"$5,073,000"
Dustin Colquitt,KC,P,"$5,050,000"
Kenny Vaccaro,NO,SS,"$5,023,530"
Osi Umenyiora,ATL,OLB,"$5,000,000"
Brandon Mebane,SEA,DT,"$5,000,000"
Michael Crabtree,SF,WR,"$5,000,000"
Reggie Bush,DET,RB,"$5,000,000"
Trent Williams,WAS,LT,"$5,000,000"
Kevin Williams,MIN,DT,"$5,000,000"
Greg Toler,IND,CB,"$5,000,000"
DeAngelo Williams,CAR,RB,"$5,000,000"
Matt Hasselbeck,IND,QB,"$5,000,000"
Daryn Colledge,ARI,G,"$5,000,000"
Jason McCourty,TEN,CB,"$5,000,000"
D'Qwell Jackson,CLE,ILB,"$5,000,000"
Dominique Rodgers-Cromartie,DEN,CB,"$5,000,000"
Maurice Jones-Drew,JAC,RB,"$5,000,000"
Kendall Langford,STL,DE,"$5,000,000"
Eric Reid,SF,SS,"$4,952,820"
Asante Samuel,ATL,CB,"$4,950,000"
Max Unger,SEA,C,"$4,900,000"
Aqib Talib,NE,CB,"$4,882,813"
Corey Webster,NYG,CB,"$4,875,000"
Kyle Williams,BUF,DT,"$4,855,000"
Justin Pugh,NYG,G,"$4,854,744"
Kyle Long,CHI,G,"$4,822,056"
Michael Bennett,SEA,DE,"$4,800,000"
Tyler Eifert,CIN,TE,"$4,789,364"
Andrew Whitworth,CIN,LT,"$4,750,000"
Antoine Bethea,IND,SS,"$4,750,000"
Dunta Robinson,KC,CB,"$4,750,000"
Desmond Trufant,ATL,CB,"$4,723,980"
B.J. Raji,GB,DT,"$4,715,000"
Jonathan Babineaux,ATL,DT,"$4,700,000"
Tyson Jackson,KC,DE,"$4,700,000"
Darnell Dockett,ARI,DE,"$4,700,000"
Sharrif Floyd,MIN,DT,"$4,658,600"
Justin Tuck,NYG,DE,"$4,650,000"
Manny Lawson,BUF,OLB,"$4,650,000"
Navorro Bowman,SF,ILB,"$4,630,000"
Dimitri Patterson,MIA,CB,"$4,600,000"
Tim Jennings,CHI,CB,"$4,600,000"
Marques Colston,NO,WR,"$4,600,000"
William Hayes,STL,DE,"$4,550,000"
Bjoern Werner,IND,OLB,"$4,527,835"
Justin Blalock,ATL,G,"$4,500,000"
Antonio Gates,SD,TE,"$4,500,000"
David Baas,NYG,C,"$4,500,000"
Barry Cofield,WAS,DT,"$4,500,000"
Mike Brisiel,OAK,G,"$4,500,000"
Marshal Yanda,BAL,G,"$4,500,000"
Xavier Rhodes,MIN,CB,"$4,462,456"
Brad Jones,GB,ILB,"$4,425,000"
Jeremy Zuttah,TB,C,"$4,375,000"
Josh Sitton,GB,G,"$4,350,000"
Marcedes Lewis,JAC,TE,"$4,350,000"
Datone Jones,GB,DE,"$4,338,357"
DeAndre Hopkins,HOU,WR,"$4,331,692"
Jason Babin,JAC,DE,"$4,325,000"
Sylvester Williams,DEN,DT,"$4,299,000"
Michael Griffin,TEN,FS,"$4,294,118"
Malcom Floyd,SD,WR,"$4,250,000"
Britton Colquitt,DEN,P,"$4,250,000"
Shonn Greene,TEN,RB,"$4,250,000"
Dustin Keller,MIA,TE,"$4,250,000"
Nate Washington,TEN,WR,"$4,200,000"
Will Smith,NO,OLB,"$4,150,000"
Jabari Greer,NO,CB,"$4,150,000"
Donte Whitner,SF,SS,"$4,100,000"
Domata Peko,CIN,DT,"$4,100,000"
Levi Brown,PIT,LT,"$4,050,588"
Cordarrelle Patterson,MIN,WR,"$4,036,672"
Nick Roach,OAK,ILB,"$4,025,000"
James Casey,PHI,FB,"$4,015,000"
Breno Giacomini,SEA,RT,"$4,000,000"
DeAndre Levy,DET,OLB,"$4,000,000"
Jeromey Clary,SD,G,"$4,000,000"
Kevin Huber,CIN,P,"$4,000,000"
Josh Morgan,WAS,WR,"$4,000,000"
Stephen Bowen,WAS,DE,"$4,000,000"
Greg Olsen,CAR,TE,"$4,000,000"
Haloti Ngata,BAL,DT,"$4,000,000"
Jacoby Jones,BAL,WR,"$4,000,000"
Jerraud Powers,ARI,CB,"$4,000,000"
Kamerion Wimbley,TEN,OLB,"$4,000,000"
Sammie Lee Hill,TEN,DT,"$4,000,000"
Matt Moore,MIA,QB,"$4,000,000"
Owen Daniels,HOU,TE,"$4,000,000"
Danieal Manning,HOU,S,"$4,000,000"
David Hawthorne,NO,ILB,"$4,000,000"
Marcel Reece,OAK,FB,"$3,992,744"
Ike Taylor,PIT,CB,"$3,916,470"
Alec Ogletree,STL,ILB,"$3,897,752"
Roman Harper,NO,SS,"$3,850,000"
Alex Mack,CLE,C,"$3,832,000"
Erik Walden,IND,OLB,"$3,823,529"
