Name,Team,POS,Salary
Matt Ryan,ATL,QB,"$36,500,000"
Joe Haden,CLE,CB,"$22,978,193"
Joe Flacco,BAL,QB,"$21,000,000"
Carson Palmer,ARI,QB,"$19,000,000"
Alex Smith,KC,QB,"$19,000,000"
Tom Brady,NE,QB,"$19,000,000"
Andy Dalton,CIN,QB,"$18,086,027"
Jay Cutler,CHI,QB,"$17,506,808"
Patrick Peterson,ARI,CB,"$16,249,999"
Eli Manning,NYG,QB,"$15,650,000"
Mike Wallace,MIA,WR,"$15,050,000"
Brandon Marshall,CHI,WR,"$15,010,457"
Matthew Stafford,DET,QB,"$15,008,969"
Peyton Manning,DEN,QB,"$15,000,000"
Sam Shields,GB,CB,"$14,960,336"
Jordy Nelson,GB,WR,"$14,273,563"
Earl Thomas,SEA,FS,"$14,225,000"
Greg Robinson,STL,LT,"$14,219,344"
Sam Bradford,STL,QB,"$14,015,000"
Maurkice Pouncey,PIT,C,"$14,000,000"
Philip Rivers,SD,QB,"$13,800,000"
Gerald McCoy,TB,DT,"$13,700,000"
Tony Romo,DAL,QB,"$13,500,000"
Mario Williams,BUF,DE,"$13,400,000"
Chris Long,STL,DE,"$13,400,000"
Sammy Watkins,BUF,WR,"$13,238,620"
Greg Hardy,CAR,DE,"$13,116,000"
Colin Kaepernick,SF,QB,"$13,073,766"
Jurrell Casey,TEN,DT,"$13,000,000"
DeMarcus Ware,DEN,OLB,"$13,000,000"
Larry Fitzgerald,ARI,WR,"$13,000,000"
Everson Griffen,MIN,DE,"$13,000,000"
Jimmy Graham,NO,TE,"$13,000,000"
Ndamukong Suh,DET,DT,"$12,680,451"
Richard Sherman,SEA,CB,"$12,431,000"
Khalil Mack,OAK,DE,"$12,323,272"
Jairus Byrd,NO,FS,"$12,300,000"
Chris Harris,DEN,CB,"$12,187,000"
Ben Roethlisberger,PIT,QB,"$12,100,000"
Jason Peters,PHI,LT,"$12,000,000"
Terrell Suggs,BAL,OLB,"$12,000,000"
Eugene Monroe,BAL,LT,"$12,000,000"
Dennis Pitta,BAL,TE,"$12,000,000"
Darrelle Revis,NE,CB,"$12,000,000"
Aqib Talib,DEN,CB,"$11,906,250"
Donald Butler,SD,ILB,"$11,900,000"
Brian Orakpo,WAS,OLB,"$11,455,000"
Jadeveon Clowney,HOU,OLB,"$11,308,908"
Joe Thomas,CLE,LT,"$11,100,000"
Tyron Smith,DAL,LT,"$11,079,013"
Branden Albert,MIA,LT,"$11,025,000"
Donte Whitner,CLE,SS,"$11,000,000"
Drew Brees,NO,QB,"$11,000,000"
Andre Johnson,HOU,WR,"$11,000,000"
Thomas Davis,CAR,OLB,"$11,000,000"
Paul Soliai,ATL,DT,"$11,000,000"
Aaron Rodgers,GB,QB,"$10,908,256"
J.J. Watt,HOU,DE,"$10,907,385"
Dominique Rodgers-Cromartie,NYG,CB,"$10,750,000"
Jake Matthews,ATL,LT,"$10,688,728"
