Name,Team,POS,Salary
Eric Fisher,KC,LT,"$10,850,000"
Sterling Shepard,NYG,WR,"$10,760,624"
John Brown,BUF,WR,"$10,699,683"
Ryan Kerrigan,WAS,OLB,"$10,687,500"
Ali Marpet,TB,G,"$10,625,000"
Luke Kuechly,CAR,ILB,"$10,526,266"
Danielle Hunter,MIN,DE,"$10,500,000"
Henry Anderson,NYJ,DE,"$10,500,000"
Keenan Allen,LAC,WR,"$10,250,000"
Tyrell Williams,OAK,WR,"$10,100,000"
La'el Collins,DAL,RT,"$10,079,135"
Rashan Gary,GB,OLB,"$10,062,136"
Marshal Yanda,BAL,G,"$10,021,774"
Zack Martin,DAL,G,"$10,020,956"
Devin Funchess,IND,WR,"$10,000,000"
Michael Brockers,LAR,DE,"$10,000,000"
Quincy Enunwa,NYJ,WR,"$10,000,000"
Stephon Gilmore,NE,CB,"$10,000,000"
Malik Jackson,PHI,DT,"$10,000,000"
Alec Ogletree,NYG,ILB,"$10,000,000"
Kevin Zeitler,NYG,G,"$10,000,000"
Ryan Jensen,TB,C,"$10,000,000"
Logan Ryan,TEN,CB,"$10,000,000"
Bradley Roby,HOU,CB,"$9,812,500"
Lavonte David,TB,OLB,"$9,750,000"
Christian Wilkins,MIA,DT,"$9,743,436"
Mike Pouncey,LAC,C,"$9,726,250"
D.J. Humphries,ARI,LT,"$9,650,229"
Andrus Peat,NO,G,"$9,625,000"
Eric Reid,CAR,SS,"$9,559,268"
Desmond Trufant,ATL,CB,"$9,508,823"
Jimmy Smith,BAL,CB,"$9,505,555"
Stefon Diggs,MIN,WR,"$9,500,000"
Riley Reiff,MIN,LT,"$9,500,000"
Devin McCourty,NE,FS,"$9,500,000"
Dre Kirkpatrick,CIN,CB,"$9,450,510"
Linval Joseph,MIN,DT,"$9,437,500"
Nelson Agholor,PHI,WR,"$9,387,000"
Kyle Rudolph,MIN,TE,"$9,350,000"
Brandon Williams,BAL,DT,"$9,259,151"
Ndamukong Suh,TB,DE,"$9,250,000"
Chris Lindstrom,ATL,G,"$9,239,115"
Bud Dupree,PIT,OLB,"$9,232,000"
Damon Harrison,DET,DT,"$9,218,750"
Aaron Donald,LAR,DT,"$9,108,000"
