Year,Name,POS,Salary,Team Abbv.,Team Name,Division
2016,Chris Harris,CB,"$7,000,000 ",DEN,Denver Broncos,AFC West
2016,Maurkice Pouncey,C,"$7,000,000 ",PIT,Pittsburgh Steelers,AFC North
2016,Everson Griffen,DE,"$7,000,000 ",MIN,Minnesota Vikings,NFC North
2016,Jimmy Smith,CB,"$7,000,000 ",BAL,Baltimore Ravens,AFC North
2016,Luke Kuechly,ILB,"$7,000,000 ",CAR,Carolina Panthers,NFC South
2016,Delanie Walker,TE,"$6,984,375 ",TEN,Tennessee Titans,AFC South
2016,Robert Griffin III,QB,"$6,984,375 ",CLE,Cleveland Browns,AFC North
2016,Johnathan Joseph,CB,"$6,906,250 ",HOU,Houston Texans,AFC South
2016,Bobby Massie,RT,"$6,834,375 ",CHI,Chicago Bears,NFC North
2016,Casey Hayward,CB,"$6,800,000 ",SD,San Diego Chargers,AFC West
2016,Connor Barwin,OLB,"$6,750,000 ",PHI,Philadelphia Eagles,NFC East
2016,Tyrone Crawford,DE,"$6,750,000 ",DAL,Dallas Cowboys,NFC East
2016,Alterraun Verner,CB,"$6,750,000 ",TB,Tampa Bay Buccaneers,NFC South
2016,Josh Sitton,G,"$6,750,000 ",CHI,Chicago Bears,NFC North
2016,Alex Boone,G,"$6,725,580 ",MIN,Minnesota Vikings,NFC North
2016,Taylor Decker,T,"$6,625,985 ",DET,Detroit Lions,NFC North
2016,Geno Atkins,DT,"$6,600,000 ",CIN,Cincinnati Bengals,AFC North
2016,Nate Solder,LT,"$6,516,762 ",NE,New England Patriots,AFC East
2016,Buster Skrine,CB,"$6,504,000 ",NYJ,New York Jets,AFC East
2016,Jermey Parnell,RT,"$6,500,000 ",JAC,Jacksonville Jaguars,AFC South
2016,Eric Decker,WR,"$6,500,000 ",NYJ,New York Jets,AFC East
2016,Jason Witten,TE,"$6,500,000 ",DAL,Dallas Cowboys,NFC East
2016,Keanu Neal,FS,"$6,459,196 ",ATL,Atlanta Falcons,NFC South
2016,Tramon Williams,CB,"$6,425,000 ",CLE,Cleveland Browns,AFC North
2016,DeMarcus Ware,OLB,"$6,343,750 ",DEN,Denver Broncos,AFC West
2016,Giovani Bernard,RB,"$6,321,364 ",CIN,Cincinnati Bengals,AFC North
2016,Jermaine Kearse,WR,"$6,300,000 ",SEA,Seattle Seahawks,NFC West
2016,Donald Penn,LT,"$6,300,000 ",OAK,Oakland Raiders,AFC West
2016,Ryan Kelly,C,"$6,250,715 ",IND,Indianapolis Colts,AFC South
2016,Reggie Nelson,FS,"$6,250,000 ",OAK,Oakland Raiders,AFC West
2016,Kareem Jackson,CB,"$6,218,750 ",HOU,Houston Texans,AFC South
2016,Haloti Ngata,DT,"$6,203,125 ",DET,Detroit Lions,NFC North
2016,Marshal Yanda,G,"$6,185,882 ",BAL,Baltimore Ravens,AFC North
2016,Mason Crosby,K,"$6,150,000 ",GB,Green Bay Packers,NFC North
2016,Dontari Poe,DT,"$6,146,000 ",KC,Kansas City Chiefs,AFC West
2016,Shaq Lawson,DE,"$6,125,619 ",BUF,Buffalo Bills,AFC East
2016,Julius Thomas,TE,"$6,100,000 ",JAC,Jacksonville Jaguars,AFC South
2016,DeMarco Murray,RB,"$6,100,000 ",TEN,Tennessee Titans,AFC South
2016,Darron Lee,ILB,"$6,083,926 ",NYJ,New York Jets,AFC East
2016,Kurt Coleman,FS,"$6,050,000 ",CAR,Carolina Panthers,NFC South
2016,Will Fuller,WR,"$6,042,228 ",HOU,Houston Texans,AFC South
2016,Kyle Rudolph,TE,"$6,026,622 ",MIN,Minnesota Vikings,NFC North
2016,Brian Cushing,ILB,"$6,015,625 ",HOU,Houston Texans,AFC South
2016,Antonio Gates,TE,"$6,000,000 ",SD,San Diego Chargers,AFC West
2016,Jaye Howard,DE,"$6,000,000 ",KC,Kansas City Chiefs,AFC West
2016,Cliff Avril,DE,"$6,000,000 ",SEA,Seattle Seahawks,NFC West
2016,Ahtyba Rubin,DT,"$6,000,000 ",SEA,Seattle Seahawks,NFC West
2016,Davon House,CB,"$6,000,000 ",JAC,Jacksonville Jaguars,AFC South
2016,Jurrell Casey,DT,"$6,000,000 ",TEN,Tennessee Titans,AFC South
2016,Jordy Nelson,WR,"$6,000,000 ",GB,Green Bay Packers,NFC North
2016,Ryan Clady,LT,"$6,000,000 ",NYJ,New York Jets,AFC East
2016,Dominique Rodgers-Cromartie,CB,"$6,000,000 ",NYG,New  York Giants,NFC East
2016,C.J. Anderson,RB,"$6,000,000 ",DEN,Denver Broncos,AFC West
2016,Darian Stewart,FS,"$6,000,000 ",DEN,Denver Broncos,AFC West
2016,Ladarius Green,TE,"$6,000,000 ",PIT,Pittsburgh Steelers,AFC North
2016,Donald Stephenson,LT,"$6,000,000 ",DEN,Denver Broncos,AFC West
