Year,Name,POS,Salary,Team Abbv.,Team Name,Division
2021,Dak Prescott,QB,"$75,000,000 ",DAL,Dallas Cowboys,NFC East
2021,Tom Brady,QB,"$39,420,588 ",TB,Tampa Bay Buccaneers,NFC South
2021,T.J. Watt,OLB,"$36,593,470 ",PIT,Pittsburgh Steelers,AFC North
2021,Trent Williams,LT,"$32,311,755 ",SF,San Francisco 49ers,NFC West
2021,Jonathan Allen,DT,"$31,142,235 ",WAS,Washington Commanders,NFC East
2021,Leonard Williams,DE,"$26,000,000 ",NYG,New  York Giants,NFC East
2021,Jared Goff,QB,"$25,650,000 ",DET,Detroit Lions,NFC North
2021,Jimmy Garoppolo,QB,"$25,405,870 ",SF,San Francisco 49ers,NFC West
2021,Trevor Lawrence,QB,"$24,778,900 ",JAC,Jacksonville Jaguars,AFC South
2021,Ryan Tannehill,QB,"$24,500,000 ",TEN,Tennessee Titans,AFC South
2021,Ronnie Stanley,LT,"$23,750,000 ",BAL,Baltimore Ravens,AFC North
2021,Zach Wilson,QB,"$23,584,132 ",NYJ,New York Jets,AFC East
2021,Shaquille Leonard,ILB,"$23,384,000 ",IND,Indianapolis Colts,AFC South
2021,Matt Ryan,QB,"$23,000,000 ",ATL,Atlanta Falcons,NFC South
2021,Trey Lance,QB,"$22,823,836 ",SF,San Francisco 49ers,NFC West
2021,Patrick Mahomes,QB,"$22,806,905 ",KC,Kansas City Chiefs,AFC West
2021,Aaron Rodgers,QB,"$22,664,706 ",GB,Green Bay Packers,NFC North
2021,Kyle Pitts,TE,"$21,954,904 ",ATL,Atlanta Falcons,NFC South
2021,Myles Garrett,DE,"$21,684,000 ",CLE,Cleveland Browns,AFC North
2021,Chris Jones,DT,"$21,500,000 ",KC,Kansas City Chiefs,AFC West
2021,Carson Wentz,QB,"$21,305,882 ",IND,Indianapolis Colts,AFC South
2021,Tyler Lockett,WR,"$21,000,000 ",SEA,Pittsburgh Steelers,NFC West
2021,Jamal Adams,SS,"$21,000,000 ",SEA,Pittsburgh Steelers,NFC West
2021,Kirk Cousins,QB,"$21,000,000 ",MIN,Minnesota Vikings,NFC North
2021,Ryan Ramczyk,RT,"$20,473,216 ",NO,New Orleans Saints,NFC South
2021,Ja'Marr Chase,WR,"$20,434,284 ",CIN,Cincinnati Bengals,AFC North
2021,Josh Allen,QB,"$20,038,596 ",BUF,Buffalo Bills,AFC East
2021,Matt Judon,OLB,"$20,000,000 ",NE,New England Patriots,AFC East
2021,Matthew Stafford,QB,"$20,000,000 ",LAR,Los Angeles Rams,NFC West
2021,Amari Cooper,WR,"$20,000,000 ",DAL,Dallas Cowboys,NFC East
2021,Shaquil Barrett,OLB,"$20,000,000 ",TB,Tampa Bay Buccaneers,NFC South
