Year,Name,POS,Salary,Team Abbv.,Team Name,Division
2019,Matt Ryan,QB,"$44,764,610 ",ATL,Atlanta Falcons,NFC South
2019,Ben Roethlisberger,QB,"$40,000,000 ",PIT,Pittsburgh Steelers,AFC North
2019,Russell Wilson,QB,"$35,000,000 ",SEA,Seattle Seahawks,NFC West
2019,Matthew Stafford,QB,"$32,700,000 ",DET,Detroit Lions,NFC North
2019,DeMarcus Lawrence,DE,"$31,116,747 ",DAL,Dallas Cowboys,NFC East
2019,Nick Foles,QB,"$30,500,000 ",JAC,Jacksonville Jaguars,AFC South
2019,Trey Flowers,DE,"$28,875,000 ",DET,Detroit Lions,NFC North
2019,Kirk Cousins,QB,"$28,000,000 ",MIN,Minnesota Vikings,NFC North
2019,Brandin Cooks,WR,"$27,459,000 ",LAR,Los Angeles Rams,NFC West
2019,Julio Jones,WR,"$26,516,985 ",ATL,Atlanta Falcons,NFC South
2019,Jared Goff,QB,"$26,000,000 ",LAR,Los Angeles Rams,NFC West
2019,Grady Jarrett,DT,"$24,518,433 ",ATL,Atlanta Falcons,NFC South
2019,Kyler Murray,QB,"$24,119,294 ",ARI,Arizona Cardinals,NFC West
2019,Tom Brady,QB,"$23,000,000 ",NE,New England Patriots,AFC East
2019,Drew Brees,QB,"$23,000,000 ",NO,New Orleans Saints,NFC South
2019,Nick Bosa,DE,"$22,916,356 ",SF,San Francisco 49ers,NFC West
2019,Za'Darius Smith,OLB,"$22,250,000 ",GB,Green Bay Packers,NFC North
2019,Earl Thomas,FS,"$22,028,442 ",BAL,Baltimore Ravens,AFC North
2019,Clelin Ferrell,DE,"$21,322,864 ",OAK,Oakland Raiders,AFC West
2019,Marcus Mariota,QB,"$20,922,000 ",TEN,Tennessee Titans,AFC South
2019,Jameis Winston,QB,"$20,922,000 ",TB,Tampa Bay Buccaneers,NFC South
2019,Dee Ford,DE,"$20,765,625 ",SF,San Francisco 49ers,NFC West
2019,Derek Carr,QB,"$20,000,000 ",OAK,Oakland Raiders,AFC West
2019,Mike Evans,WR,"$20,000,000 ",TB,Tampa Bay Buccaneers,NFC South
2019,Devin White,LB,"$19,835,592 ",TB,Tampa Bay Buccaneers,NFC South
2019,Mitch Morse,C,"$19,520,515 ",BUF,Buffalo Bills,AFC East
2019,C.J. Mosley,ILB,"$19,000,000 ",NYJ,New York Jets,AFC East
2019,Jimmy Garoppolo,QB,"$18,600,000 ",SF,San Francisco 49ers,NFC West
2019,Joe Flacco,QB,"$18,500,000 ",DEN,Denver Broncos,AFC West
2019,Preston Smith,OLB,"$18,000,000 ",GB,Green Bay Packers,NFC North
2019,Frank Clark,DE,"$17,800,000 ",KC,Kansas City Chiefs,AFC West
2019,Von Miller,OLB,"$17,500,000 ",DEN,Denver Broncos,AFC West
2019,Daniel Jones,QB,"$17,179,768 ",NYG,New  York Giants,NFC East
2019,Carson Wentz,QB,"$17,087,683 ",PHI,Philadelphia Eagles,NFC East
2019,"Odell Beckham, Jr.",WR,"$17,013,388 ",CLE,Cleveland Browns,AFC North
2019,Melvin Ingram,DE,"$17,000,000 ",LAC,Los Angeles Chargers,AFC West
2019,Cameron Jordan,DE,"$17,000,000 ",NO,New Orleans Saints,NFC South
2019,Eli Manning,QB,"$17,000,000 ",NYG,New  York Giants,NFC East
2019,Ja'Wuan James,RT,"$17,000,000 ",DEN,Denver Broncos,AFC West
2019,Quinnen Williams,DT,"$16,753,293 ",NYJ,New York Jets,AFC East
2019,Cam Newton,QB,"$16,701,357 ",CAR,Carolina Panthers,NFC South
2019,Chandler Jones,OLB,"$16,514,955 ",ARI,Arizona Cardinals,NFC West
2019,Bobby Wagner,ILB,"$16,500,000 ",SEA,Seattle Seahawks,NFC West
2019,Andy Dalton,QB,"$16,212,043 ",CIN,Cincinnati Bengals,AFC North
2019,Anthony Barr,OLB,"$16,000,000 ",MIN,Minnesota Vikings,NFC North
2019,Philip Rivers,QB,"$16,000,000 ",LAC,Los Angeles Chargers,AFC West
2019,Landon Collins,SS,"$15,825,000 ",WAS,Washington Commanders,NFC East
2019,Tyrann Mathieu,FS,"$15,800,000 ",KC,Kansas City Chiefs,AFC West
2019,Fletcher Cox,DT,"$15,600,000 ",PHI,Philadelphia Eagles,NFC East
2019,Shaq Thompson,OLB,"$15,547,701 ",CAR,Carolina Panthers,NFC South
2019,Jake Matthews,LT,"$15,535,224 ",ATL,Atlanta Falcons,NFC South
2019,Khalil Mack,OLB,"$15,518,121 ",CHI,Chicago Bears,NFC North
2019,Olivier Vernon,DE,"$15,507,952 ",CLE,Cleveland Browns,AFC North
2019,Jordan Hicks,ILB,"$15,438,869 ",ARI,Arizona Cardinals,NFC West
2019,Joe Haden,CB,"$15,400,000 ",PIT,Pittsburgh Steelers,AFC North
2019,Aaron Rodgers,QB,"$15,320,000 ",GB,Green Bay Packers,NFC North
2019,Xavien Howard,CB,"$15,285,641 ",MIA,Miami Dolphins,AFC East
2019,Trenton Brown,RT,"$15,250,000 ",OAK,Oakland Raiders,AFC West
2019,Josh Allen,DE,"$15,055,100 ",JAC,Jacksonville Jaguars,AFC South
2019,Alex Smith,QB,"$15,000,000 ",WAS,Washington Commanders,NFC East
2019,Calais Campbell,DE,"$15,000,000 ",JAC,Jacksonville Jaguars,AFC South
2019,Le'Veon Bell,RB,"$14,968,750 ",NYJ,New York Jets,AFC East
2019,Jacoby Brissett,QB,"$14,907,500 ",IND,Indianapolis Colts,AFC South
2019,DeVante Parker,WR,"$14,500,000 ",MIA,Miami Dolphins,AFC East
2019,Golden Tate,WR,"$14,358,823 ",NYG,New  York Giants,NFC East
2019,Kwon Alexander,ILB,"$14,292,000 ",SF,San Francisco 49ers,NFC West
2019,Adam Thielen,WR,"$14,273,750 ",MIN,Minnesota Vikings,NFC North
2019,Jerry Hughes,DE,"$14,263,513 ",BUF,Buffalo Bills,AFC East
2019,Adrian Amos,FS,"$14,150,000 ",GB,Green Bay Packers,NFC North
2019,Lane Johnson,RT,"$14,100,705 ",PHI,Philadelphia Eagles,NFC East
2019,LaMarcus Joyner,FS,"$14,050,000 ",OAK,Oakland Raiders,AFC West
