id,Year,Name,POS,Salary,Team Abbv.,Team Name,Division
1,2013,Aaron Rodgers,QB,"$38,250,000",GB,Green Bay Packers,NFC North
2,2013,Joe Flacco,QB,"$30,000,000",BAL,Baltimore Ravens,AFC North
3,2013,Tony Romo,QB,"$26,500,000",DAL,Dallas Cowboys,NFC East
4,2013,Calvin Johnson,WR,"$25,005,000",DET,Detroit Lions,NFC North
5,2013,Peyton Manning,QB,"$25,000,000",DEN,Denver Broncos,AFC West
6,2013,Clay Matthews Jr.,OLB,"$22,950,000",GB,Green Bay Packers,NFC North
7,2013,Gosder Cherilus,RT,"$20,000,000",IND,Indianapolis Colts,AFC South
8,2013,Geno Atkins,DT,"$19,000,000",CIN,Cincinnati Bengals,AFC North
9,2013,Matthew Stafford,QB,"$18,500,000",DET,Detroit Lions,NFC North
10,2013,Dwayne Bowe,WR,"$16,000,000",KC,Kansas City Chiefs,AFC West
11,2013,Darrelle Revis,CB,"$16,000,000",TB,Tampa Bay Buccaneers,NFC South
12,2013,Matt Ryan,QB,"$15,000,000",ATL,Atlanta Falcons,NFC South
13,2013,Ryan Clady,LT,"$15,000,000",DEN,Denver Broncos,AFC West
14,2013,Mario Williams,DE,"$15,000,000",BUF,Buffalo Bills,AFC East
15,2013,Eric Fisher,LT,"$14,923,544",KC,Kansas City Chiefs,AFC West
16,2013,Percy Harvin,WR,"$14,500,000",SEA,Seattle Seahawks,NFC West
17,2013,Jared Allen,DE,"$14,480,612",MIN,Minnesota Vikings,NFC North
18,2013,Brandon Carr,CB,"$14,300,000",DAL,Dallas Cowboys,NFC East
19,2013,Luke Joeckel,G,"$14,204,344",JAC,Jacksonville Jaguars,AFC South
20,2013,Cortland Finnegan,CB,"$14,000,000",STL,St. Louis Rams,NFC West
21,2013,Dion Jordan,DE,"$13,746,680",MIA,Miami Dolphins,AFC East
22,2013,William Beatty,LT,"$13,550,000",NYG,New  York Giants,NFC East
23,2013,Eli Manning,QB,"$13,500,000",NYG,New  York Giants,NFC East
24,2013,Calais Campbell,DE,"$13,250,000",ARI,Arizona Cardinals,NFC West
25,2013,James Laurinaitis,ILB,"$13,250,000",STL,St. Louis Rams,NFC West
26,2013,Julius Peppers,DE,"$13,200,000",CHI,Chicago Bears,NFC North
27,2013,Chris Long,DE,"$13,050,000",STL,St. Louis Rams,NFC West
28,2013,Tom Brady,QB,"$13,000,000",NE,New England Patriots,AFC East
29,2013,Carlos Dunlap,DE,"$13,000,000",CIN,Cincinnati Bengals,AFC North
30,2013,Greg Jennings,WR,"$13,000,000",MIN,Minnesota Vikings,NFC North
31,2013,Paul Kruger,OLB,"$13,000,000",CLE,Cleveland Browns,AFC North
32,2013,Andy Levitre,G,"$13,000,000",TEN,Tennessee Titans,AFC South
33,2013,Tamba Hali,OLB,"$12,500,000",KC,Kansas City Chiefs,AFC West
34,2013,Carl Nicks,G,"$12,500,000",TB,Tampa Bay Buccaneers,NFC South
35,2013,Lane Johnson,RT,"$12,469,583",PHI,Philadelphia Eagles,NFC East
36,2013,Ezekiel Ansah,DE,"$12,308,272",DET,Detroit Lions,NFC North
37,2013,Ndamukong Suh,DT,"$12,275,000",DET,Detroit Lions,NFC North
38,2013,Michael Vick,QB,"$12,200,000",PHI,Philadelphia Eagles,NFC East
39,2013,Mike Wallace,WR,"$12,050,000",MIA,Miami Dolphins,AFC East
40,2013,Philip Rivers,QB,"$12,000,000",SD,San Diego Chargers,AFC West
41,2013,Desmond Bryant,DE,"$12,000,000",CLE,Cleveland Browns,AFC North
42,2013,Jermon Bushrod,G,"$11,815,000",CHI,Chicago Bears,NFC North
43,2013,Ben Roethlisberger,QB,"$11,600,000",PIT,Pittsburgh Steelers,AFC North
44,2013,Adrian Peterson,RB,"$11,500,000",MIN,Minnesota Vikings,NFC North
45,2013,Eric Wood,C,"$11,200,000",BUF,Buffalo Bills,AFC East
46,2013,Michael Johnson,DE,"$11,175,000",CIN,Cincinnati Bengals,AFC North
47,2013,Sam Baker,LT,"$11,000,000",ATL,Atlanta Falcons,NFC South
48,2013,David Harris,ILB,"$11,000,000",NYJ,New York Jets,AFC East
49,2013,LaRon Landry,S,"$11,000,000",IND,Indianapolis Colts,AFC South
50,2013,Champ Bailey,CB,"$10,750,000",DEN,Denver Broncos,AFC West
51,2013,Barkevious Mingo,OLB,"$10,673,728",CLE,Cleveland Browns,AFC North
52,2013,Sean Lee,OLB,"$10,630,000",DAL,Dallas Cowboys,NFC East
53,2013,Anthony Spencer,OLB,"$10,627,200",DAL,Dallas Cowboys,NFC East
54,2013,Andre Johnson,WR,"$10,583,333",HOU,Houston Texans,AFC South
55,2013,William Moore,SS,"$10,500,000",ATL,Atlanta Falcons,NFC South
56,2013,Jason Peters,LT,"$10,500,000",PHI,Philadelphia Eagles,NFC East
57,2013,Joe Thomas,LT,"$10,200,000",CLE,Cleveland Browns,AFC North
58,2013,Victor Cruz,WR,"$10,130,000",NYG,New  York Giants,NFC East
59,2013,Phillip Loadholt,RT,"$10,000,000",MIN,Minnesota Vikings,NFC North
60,2013,Ryan Kalil,C,"$10,000,000",CAR,Carolina Panthers,NFC South
61,2013,Chris Johnson,RB,"$10,000,000",TEN,Tennessee Titans,AFC South
62,2013,Drew Brees,QB,"$10,000,000",NO,New Orleans Saints,NFC South
63,2013,Zach Miller,TE,"$10,000,000",SEA,Seattle Seahawks,NFC West
64,2013,Branden Albert,LT,"$9,828,000",KC,Kansas City Chiefs,AFC West
65,2013,Alex Smith,QB,"$9,750,000",KC,Kansas City Chiefs,AFC West
66,2013,Morgan Burnett,SS,"$9,573,000",GB,Green Bay Packers,NFC North
67,2013,Antonio Cromartie,CB,"$9,500,000",NYJ,New York Jets,AFC East
68,2013,Tyvon Branch,SS,"$9,500,000",OAK,Oakland Raiders,AFC West
69,2013,Jonathan Cooper,G,"$9,366,092",ARI,Arizona Cardinals,NFC West
70,2013,Brandon Marshall,WR,"$9,300,000",CHI,Chicago Bears,NFC North
71,2013,LaMarr Woodley,OLB,"$9,000,000",PIT,Pittsburgh Steelers,AFC North
72,2013,Sam Bradford,QB,"$9,000,000",STL,St. Louis Rams,NFC West
73,2013,Jay Cutler,QB,"$8,970,000",CHI,Chicago Bears,NFC North
74,2013,Mark Sanchez,QB,"$8,750,000",NYJ,New York Jets,AFC East
75,2013,Dashon Goldson,FS,"$8,735,295",TB,Tampa Bay Buccaneers,NFC South
76,2013,Sidney Rice,WR,"$8,500,000",SEA,Seattle Seahawks,NFC West
77,2013,Brian Robison,DE,"$8,500,000",MIN,Minnesota Vikings,NFC North
78,2013,Elvis Dumervil,OLB,"$8,500,000",BAL,Baltimore Ravens,AFC North
79,2013,Randy Starks,DE,"$8,450,000",MIA,Miami Dolphins,AFC East
80,2013,Henry Melton,DT,"$8,450,000",CHI,Chicago Bears,NFC North
81,2013,Anthony Davis,RT,"$8,380,000",SF,San Francisco 49ers,NFC West
82,2013,Danny Amendola,WR,"$8,375,000",NE,New England Patriots,AFC East
83,2013,Gerald McCoy,DT,"$8,321,250",TB,Tampa Bay Buccaneers,NFC South
84,2013,Sebastian Vollmer,RT,"$8,250,000",NE,New England Patriots,AFC East
85,2013,Jermichael Finley,TE,"$8,250,000",GB,Green Bay Packers,NFC North
86,2013,Mike Williams,WR,"$8,200,000",TB,Tampa Bay Buccaneers,NFC South
87,2013,Justin Smith,DE,"$8,100,000",SF,San Francisco 49ers,NFC West
88,2013,Tavon Austin,WR,"$8,058,456",STL,St. Louis Rams,NFC West
89,2013,Dannell Ellerbe,OLB,"$8,025,000",MIA,Miami Dolphins,AFC East
90,2013,D'Brickashaw Ferguson,LT,"$8,000,000",NYJ,New York Jets,AFC East
91,2013,Carson Palmer,QB,"$8,000,000",ARI,Arizona Cardinals,NFC West
92,2013,Charles Tillman,CB,"$8,000,000",CHI,Chicago Bears,NFC North
93,2013,Philip Wheeler,OLB,"$8,000,000",MIA,Miami Dolphins,AFC East
94,2013,Jake Long,LT,"$8,000,000",STL,St. Louis Rams,NFC West
95,2013,Jared Cook,TE,"$8,000,000",STL,St. Louis Rams,NFC West
96,2013,Dee Milliner,CB,"$7,993,000",NYJ,New York Jets,AFC East
97,2013,Ray Rice,RB,"$7,941,176",BAL,Baltimore Ravens,AFC North
98,2013,Lawrence Timmons,ILB,"$7,875,000",PIT,Pittsburgh Steelers,AFC North
99,2013,Brian Cushing,ILB,"$7,814,911",HOU,Houston Texans,AFC South
100,2013,Brian Hartline,WR,"$7,715,000",MIA,Miami Dolphins,AFC East
101,2013,Chance Warmack,G,"$7,633,472",TEN,Tennessee Titans,AFC South
102,2013,Brandon Flowers,CB,"$7,600,000",KC,Kansas City Chiefs,AFC West
103,2013,Chris Houston,CB,"$7,500,000",DET,Detroit Lions,NFC North
104,2013,Troy Polamalu,S,"$7,500,000",PIT,Pittsburgh Steelers,AFC North
105,2013,Santonio Holmes,WR,"$7,500,000",NYJ,New York Jets,AFC East
106,2013,Kyle Arrington,CB,"$7,500,000",NE,New England Patriots,AFC East
107,2013,Sean Smith,CB,"$7,500,000",KC,Kansas City Chiefs,AFC West
108,2013,Johnathan Joseph,CB,"$7,500,000",HOU,Houston Texans,AFC South
109,2013,Jahri Evans,G,"$7,400,000",NO,New Orleans Saints,NFC South
110,2013,Lardarius Webb,CB,"$7,385,000",BAL,Baltimore Ravens,AFC North
111,2013,Kam Chancellor,SS,"$7,325,000",SEA,Seattle Seahawks,NFC West
112,2013,Stevie Johnson,WR,"$7,325,000",BUF,Buffalo Bills,AFC East
113,2013,Eric Berry,FS,"$7,309,000",KC,Kansas City Chiefs,AFC West
114,2013,Russell Okung,LT,"$7,260,000",SEA,Seattle Seahawks,NFC West
115,2013,Antrel Rolle,SS,"$7,250,000",NYG,New  York Giants,NFC East
116,2013,Matt Schaub,QB,"$7,250,000",HOU,Houston Texans,AFC South
117,2013,Joe Haden,CB,"$7,136,429",CLE,Cleveland Browns,AFC North
118,2013,D.J. Fluker,G,"$7,077,730",SD,San Diego Chargers,AFC West
119,2013,Keenan Lewis,CB,"$7,050,000",NO,New Orleans Saints,NFC South
120,2013,Marshawn Lynch,RB,"$7,000,000",SEA,Seattle Seahawks,NFC West
121,2013,Tony Gonzalez,TE,"$7,000,000",ATL,Atlanta Falcons,NFC South
122,2013,Antonio Brown,WR,"$7,000,000",PIT,Pittsburgh Steelers,AFC North
123,2013,Vince Wilfork,DT,"$7,000,000",NE,New England Patriots,AFC East
124,2013,DeSean Jackson,WR,"$7,000,000",PHI,Philadelphia Eagles,NFC East
125,2013,Andre Smith,G,"$7,000,000",CIN,Cincinnati Bengals,AFC North
126,2013,Chad Greenway,OLB,"$7,000,000",MIN,Minnesota Vikings,NFC North
127,2013,Robert Mathis,OLB,"$7,000,000",IND,Indianapolis Colts,AFC South
128,2013,Charles Johnson,DE,"$7,000,000",CAR,Carolina Panthers,NFC South
129,2013,Louis Vasquez,G,"$7,000,000",DEN,Denver Broncos,AFC West
130,2013,Jairus Byrd,FS,"$6,916,000",BUF,Buffalo Bills,AFC East
131,2013,Alan Branch,DT,"$6,875,000",BUF,Buffalo Bills,AFC East
132,2013,Miles Austin,WR,"$6,732,000",DAL,Dallas Cowboys,NFC East
133,2013,Chris Snee,G,"$6,700,000",NYG,New  York Giants,NFC East
134,2013,DeMeco Ryans,ILB,"$6,700,000",PHI,Philadelphia Eagles,NFC East
135,2013,Darren McFadden,RB,"$6,678,584",OAK,Oakland Raiders,AFC West
136,2013,Vernon Davis,TE,"$6,672,000",SF,San Francisco 49ers,NFC West
137,2013,Roddy White,WR,"$6,600,000",ATL,Atlanta Falcons,NFC South
138,2013,Red Bryant,DE,"$6,600,000",SEA,Seattle Seahawks,NFC West
139,2013,Leon Hall,CB,"$6,600,000",CIN,Cincinnati Bengals,AFC North
140,2013,DeMarcus Ware,OLB,"$6,500,000",DAL,Dallas Cowboys,NFC East
141,2013,Ricky Jean Francois,DT,"$6,500,000",IND,Indianapolis Colts,AFC South
142,2013,Tramon Williams,CB,"$6,500,000",GB,Green Bay Packers,NFC North
143,2013,Paul Posluszny,OLB,"$6,500,000",JAC,Jacksonville Jaguars,AFC South
144,2013,Frank Gore,RB,"$6,450,000",SF,San Francisco 49ers,NFC West
145,2013,Terrell Suggs,OLB,"$6,400,000",BAL,Baltimore Ravens,AFC North
146,2013,D.J. Hayden,CB,"$6,293,144",OAK,Oakland Raiders,AFC West
147,2013,Matt Forte,RB,"$6,268,750",CHI,Chicago Bears,NFC North
148,2013,Glover Quin,FS,"$6,250,000",DET,Detroit Lions,NFC North
149,2013,Ryan Pickett,DT,"$6,200,000",GB,Green Bay Packers,NFC North
150,2013,Ahtyba Rubin,DT,"$6,200,000",CLE,Cleveland Browns,AFC North
151,2013,Wes Welker,WR,"$6,150,000",DEN,Denver Broncos,AFC West
152,2013,Nick Mangold,C,"$6,110,000",NYJ,New York Jets,AFC East
153,2013,Curtis Lofton,ILB,"$6,100,000",NO,New Orleans Saints,NFC South
154,2013,Leodis McKelvin,CB,"$6,050,000",BUF,Buffalo Bills,AFC East
155,2013,Chris Clemons,DE,"$6,000,000",SEA,Seattle Seahawks,NFC West
156,2013,Anquan Boldin,WR,"$6,000,000",SF,San Francisco 49ers,NFC West
157,2013,Cliff Avril,DE,"$6,000,000",SEA,Seattle Seahawks,NFC West
158,2013,Eric Weddle,FS,"$6,000,000",SD,San Diego Chargers,AFC West
159,2013,Logan Mankins,G,"$6,000,000",NE,New England Patriots,AFC East
160,2013,Derek Cox,CB,"$6,000,000",SD,San Diego Chargers,AFC West
161,2013,Reggie Wayne,WR,"$6,000,000",IND,Indianapolis Colts,AFC South
162,2013,Michael Roos,LT,"$6,000,000",TEN,Tennessee Titans,AFC South
163,2013,Donald Penn,LT,"$6,000,000",TB,Tampa Bay Buccaneers,NFC South
164,2013,Davin Joseph,G,"$6,000,000",TB,Tampa Bay Buccaneers,NFC South
165,2013,Robbie Gould,K,"$5,925,000",CHI,Chicago Bears,NFC North
166,2013,Pierre Garcon,WR,"$5,906,250",WAS,Washington Commanders,NFC East
167,2013,Star Lotulelei,DT,"$5,770,092",CAR,Carolina Panthers,NFC South
168,2013,Sheldon Richardson,DT,"$5,762,176",NYJ,New York Jets,AFC East
169,2013,Cary Williams,CB,"$5,750,000",PHI,Philadelphia Eagles,NFC East
170,2013,Thomas Davis,OLB,"$5,750,000",CAR,Carolina Panthers,NFC South
171,2013,Anthony Fasano,TE,"$5,750,000",KC,Kansas City Chiefs,AFC West
172,2013,Paul Soliai,DT,"$5,750,000",MIA,Miami Dolphins,AFC East
173,2013,Lance Briggs,OLB,"$5,750,000",CHI,Chicago Bears,NFC North
174,2013,Delanie Walker,TE,"$5,650,000",TEN,Tennessee Titans,AFC South
175,2013,Kraig Urbik,G,"$5,650,000",BUF,Buffalo Bills,AFC East
176,2013,Antonio Smith,DE,"$5,647,059",HOU,Houston Texans,AFC South
177,2013,Reshad Jones,SS,"$5,630,000",MIA,Miami Dolphins,AFC East
178,2013,Jason Witten,TE,"$5,500,000",DAL,Dallas Cowboys,NFC East
179,2013,London Fletcher,ILB,"$5,500,000",WAS,Washington Commanders,NFC East
180,2013,Jordan Gross,LT,"$5,500,000",CAR,Carolina Panthers,NFC South
