Year,Name,POS,Salary,Team Abbv.,Team Name,Division
2014,Matt Ryan,QB,"$36,500,000 ",ATL,Atlanta Falcons,NFC South
2014,Joe Haden,CB,"$22,978,193 ",CLE,Cleveland Browns,AFC North
2014,Joe Flacco,QB,"$21,000,000 ",BAL,Baltimore Ravens,AFC North
2014,Carson Palmer,QB,"$19,000,000 ",ARI,Arizona Cardinals,NFC West
2014,Alex Smith,QB,"$19,000,000 ",KC,Kansas City Chiefs,AFC West
2014,Tom Brady,QB,"$19,000,000 ",NE,New England Patriots,AFC East
2014,Andy Dalton,QB,"$18,086,027 ",CIN,Cincinnati Bengals,AFC North
2014,Jay Cutler,QB,"$17,506,808 ",CHI,Chicago Bears,NFC North
2014,Patrick Peterson,CB,"$16,249,999 ",ARI,Arizona Cardinals,NFC West
2014,Eli Manning,QB,"$15,650,000 ",NYG,New  York Giants,NFC East
2014,Mike Wallace,WR,"$15,050,000 ",MIA,Miami Dolphins,AFC East
2014,Brandon Marshall,WR,"$15,010,457 ",CHI,Chicago Bears,NFC North
2014,Matthew Stafford,QB,"$15,008,969 ",DET,Detroit Lions,NFC North
2014,Peyton Manning,QB,"$15,000,000 ",DEN,Denver Broncos,AFC West
2014,Sam Shields,CB,"$14,960,336 ",GB,Green Bay Packers,NFC North
2014,Jordy Nelson,WR,"$14,273,563 ",GB,Green Bay Packers,NFC North
2014,Earl Thomas,FS,"$14,225,000 ",SEA,Seattle Seahawks,NFC West
2014,Greg Robinson,LT,"$14,219,344 ",STL,St. Louis Rams,NFC West
2014,Sam Bradford,QB,"$14,015,000 ",STL,St. Louis Rams,NFC West
2014,Maurkice Pouncey,C,"$14,000,000 ",PIT,Pittsburgh Steelers,AFC North
2014,Philip Rivers,QB,"$13,800,000 ",SD,San Diego Chargers,AFC West
2014,Gerald McCoy,DT,"$13,700,000 ",TB,Tampa Bay Buccaneers,NFC South
2014,Tony Romo,QB,"$13,500,000 ",DAL,Dallas Cowboys,NFC East
2014,Mario Williams,DE,"$13,400,000 ",BUF,Buffalo Bills,AFC East
2014,Chris Long,DE,"$13,400,000 ",STL,St. Louis Rams,NFC West
2014,Sammy Watkins,WR,"$13,238,620 ",BUF,Buffalo Bills,AFC East
2014,Greg Hardy,DE,"$13,116,000 ",CAR,Carolina Panthers,NFC South
2014,Colin Kaepernick,QB,"$13,073,766 ",SF,San Francisco 49ers,NFC West
2014,Jurrell Casey,DT,"$13,000,000 ",TEN,Tennessee Titans,AFC South
2014,DeMarcus Ware,OLB,"$13,000,000 ",DEN,Denver Broncos,AFC West
2014,Larry Fitzgerald,WR,"$13,000,000 ",ARI,Arizona Cardinals,NFC West
2014,Everson Griffen,DE,"$13,000,000 ",MIN,Minnesota Vikings,NFC North
2014,Jimmy Graham,TE,"$13,000,000 ",NO,New Orleans Saints,NFC South
