Year,Name,POS,Salary,Team Abbv.,Team Name,Division
2017,Matthew Stafford,QB,"$51,000,000 ",DET,Detroit Lions,NFC North
2017,Andrew Luck,QB,"$27,000,000 ",IND,Indianapolis Colts,AFC South
2017,Derek Carr,QB,"$25,175,000 ",OAK,Oakland Raiders,AFC West
2017,DeAndre Hopkins,WR,"$24,000,000 ",HOU,Houston Texans,AFC South
2017,Kirk Cousins,QB,"$23,950,935 ",WAS,Washington Commanders,NFC East
2017,Josh Norman,CB,"$23,937,500 ",WAS,Washington Commanders,NFC East
2017,Cam Newton,QB,"$23,666,666 ",CAR,Carolina Panthers,NFC South
2017,Melvin Ingram,OLB,"$22,750,000 ",LAC,Los Angeles Chargers,AFC West
2017,Jason Pierre-Paul,DE,"$22,500,000 ",NYG,New  York Giants,NFC East
2017,Chandler Jones,OLB,"$22,000,000 ",ARI,Arizona Cardinals,NFC West
2017,Joe Flacco,QB,"$21,000,000 ",BAL,Baltimore Ravens,AFC North
2017,Nick Perry,OLB,"$20,725,000 ",GB,Green Bay Packers,NFC North
2017,Myles Garrett,DE,"$20,723,004 ",CLE,Cleveland Browns,AFC North
2017,Xavier Rhodes,CB,"$20,026,000 ",MIN,Minnesota Vikings,NFC North
2017,Ndamukong Suh,DT,"$20,000,000 ",MIA,Miami Dolphins,AFC East
2017,Kawann Short,DT,"$20,000,000 ",CAR,Carolina Panthers,NFC South
2017,Solomon Thomas,DE,"$19,080,903 ",SF,San Francisco 49ers,NFC West
2017,Davante Adams,WR,"$18,961,963 ",GB,Green Bay Packers,NFC North
2017,Leonard Fournette,RB,"$18,351,067 ",JAC,Jacksonville Jaguars,AFC South
2017,Sam Bradford,QB,"$18,000,959 ",MIN,Minnesota Vikings,NFC North
2017,Ryan Tannehill,QB,"$18,000,000 ",MIA,Miami Dolphins,AFC East
2017,Kevin Zeitler,G,"$18,000,000 ",CLE,Cleveland Browns,AFC North
2017,Carson Palmer,QB,"$17,500,000 ",ARI,Arizona Cardinals,NFC West
2017,Ricky Wagner,RT,"$17,500,000 ",DET,Detroit Lions,NFC North
2017,Riley Reiff,LT,"$17,300,000 ",MIN,Minnesota Vikings,NFC North
2017,Corey Davis,WR,"$17,073,864 ",TEN,Tennessee Titans,AFC South
2017,Antonio Brown,WR,"$17,010,000 ",PIT,Pittsburgh Steelers,AFC North
2017,Stephon Gilmore,CB,"$16,906,250 ",NE,New England Patriots,AFC East
2017,Trumaine Johnson,CB,"$16,742,400 ",LAR,Los Angeles Rams,NFC West
2017,Desmond Trufant,CB,"$16,526,000 ",ATL,Atlanta Falcons,NFC South
2017,Von Miller,OLB,"$16,500,000 ",DEN,Denver Broncos,AFC West
2017,Justin Houston,OLB,"$16,500,000 ",KC,Kansas City Chiefs,AFC West
2017,Devonta Freeman,RB,"$16,297,000 ",ATL,Atlanta Falcons,NFC South
2017,Akiem Hicks,DE,"$16,200,000 ",CHI,Chicago Bears,NFC North
2017,Brandon Williams,DT,"$16,000,000 ",BAL,Baltimore Ravens,AFC North
2017,Alshon Jeffery,WR,"$16,000,000 ",PHI,Philadelphia Eagles,NFC East
2017,Mike Glennon,QB,"$16,000,000 ",CHI,Chicago Bears,NFC North
2017,Pierre Garcon,WR,"$15,900,000 ",SF,San Francisco 49ers,NFC West
2017,Jamie Collins,OLB,"$15,850,000 ",CLE,Cleveland Browns,AFC North
2017,Trai Turner,G,"$15,797,000 ",CAR,Carolina Panthers,NFC South
2017,Matt Ryan,QB,"$15,750,000 ",ATL,Atlanta Falcons,NFC South
2017,Jurrell Casey,DT,"$15,600,000 ",TEN,Tennessee Titans,AFC South
2017,Michael Bennett,DE,"$15,500,000 ",SEA,Seattle Seahawks,NFC West
2017,Doug Baldwin,WR,"$15,250,000 ",SEA,Seattle Seahawks,NFC West
2017,Tom Brady,QB,"$15,000,000 ",NE,New England Patriots,AFC East
2017,Calais Campbell,DE,"$15,000,000 ",JAC,Jacksonville Jaguars,AFC South
2017,Muhammad Wilkerson,DE,"$15,000,000 ",NYJ,New York Jets,AFC East
2017,Tavon Austin,WR,"$14,977,116 ",LAR,Los Angeles Rams,NFC West
2017,Dre Kirkpatrick,CB,"$14,968,750 ",CIN,Cincinnati Bengals,AFC North
2017,Mitchell Trubisky,QB,"$14,906,490 ",CHI,Chicago Bears,NFC North
2017,Jamal Adams,SS,"$14,793,154 ",NYJ,New York Jets,AFC East
2017,Tyrod Taylor,QB,"$14,500,000 ",BUF,Buffalo Bills,AFC East
2017,Joe Thomas,LT,"$14,500,000 ",CLE,Cleveland Browns,AFC North
2017,Travis Frederick,C,"$14,221,000 ",DAL,Dallas Cowboys,NFC East
2017,Stephon Tuitt,DE,"$14,000,000 ",PIT,Pittsburgh Steelers,AFC North
