Year,Name,POS,Salary,Team Abbv.,Team Name,Division
2018,Aaron Rodgers,QB,"$66,900,000 ",GB,Green Bay Packers,NFC North
2018,Jimmy Garoppolo,QB,"$41,950,000 ",SF,San Francisco 49ers,NFC West
2018,Khalil Mack,OLB,"$41,000,000 ",CHI,Chicago Bears,NFC North
2018,Aaron Donald,DT,"$40,892,000 ",LAR,Los Angeles Rams,NFC West
2018,Alex Smith,QB,"$40,000,000 ",WAS,Washington Commanders,NFC East
2018,Matt Ryan,QB,"$29,250,000 ",ATL,Atlanta Falcons,NFC South
2018,Drew Brees,QB,"$27,000,000 ",NO,New Orleans Saints,NFC South
2018,Kirk Cousins,QB,"$26,000,000 ",MIN,Minnesota Vikings,NFC North
2018,Trumaine Johnson,CB,"$26,000,000 ",NYJ,New York Jets,AFC East
2018,Geno Atkins,DT,"$25,500,000 ",CIN,Cincinnati Bengals,AFC North
2018,Derek Carr,QB,"$22,500,000 ",OAK,Oakland Raiders,AFC West
2018,Baker Mayfield,QB,"$22,329,440 ",CLE,Cleveland Browns,AFC North
2018,Nate Solder,LT,"$22,000,000 ",NYG,New  York Giants,NFC East
2018,Zack Martin,G,"$22,000,000 ",DAL,Dallas Cowboys,NFC East
2018,Todd Gurley,RB,"$21,950,000 ",LAR,Los Angeles Rams,NFC West
2018,Sammy Watkins,WR,"$21,800,000 ",KC,Kansas City Chiefs,AFC West
2018,Jarvis Landry,WR,"$21,500,000 ",CLE,Cleveland Browns,AFC North
2018,"Odell Beckham, Jr.",WR,"$21,459,000 ",NYG,New  York Giants,NFC East
2018,Saquon Barkley,RB,"$21,247,092 ",NYG,New  York Giants,NFC East
2018,Sam Darnold,QB,"$20,558,338 ",NYJ,New York Jets,AFC East
2018,Kyle Fuller,CB,"$20,000,000 ",CHI,Chicago Bears,NFC North
2018,Blake Bortles,QB,"$20,000,000 ",JAC,Jacksonville Jaguars,AFC South
2018,Carlos Dunlap,DE,"$19,800,000 ",CIN,Cincinnati Bengals,AFC North
2018,Denzel Ward,CB,"$19,771,168 ",CLE,Cleveland Browns,AFC North
2018,Jake Matthews,LT,"$19,446,000 ",ATL,Atlanta Falcons,NFC South
2018,Von Miller,OLB,"$19,427,315 ",DEN,Denver Broncos,AFC West
2018,Eric Berry,SS,"$19,000,000 ",KC,Kansas City Chiefs,AFC West
2018,Kawann Short,DT,"$19,000,000 ",CAR,Carolina Panthers,NFC South
2018,Taylor Lewan,LT,"$18,982,352 ",TEN,Tennessee Titans,AFC South
2018,Bradley Chubb,OLB,"$18,426,124 ",DEN,Denver Broncos,AFC West
2018,Mike Evans,WR,"$18,258,000 ",TB,Tampa Bay Buccaneers,NFC South
2018,Case Keenum,QB,"$18,023,476 ",DEN,Denver Broncos,AFC West
2018,Andrew Luck,QB,"$18,000,000 ",IND,Indianapolis Colts,AFC South
2018,Ryan Tannehill,QB,"$17,500,000 ",MIA,Miami Dolphins,AFC East
2018,Danielle Hunter,DE,"$17,407,000 ",MIN,Minnesota Vikings,NFC North
2018,Ezekiel Ansah,DE,"$17,143,000 ",DET,Detroit Lions,NFC North
2018,DeMarcus Lawrence,DE,"$17,143,000 ",DAL,Dallas Cowboys,NFC East
2018,Star Lotulelei,DT,"$17,100,000 ",BUF,Buffalo Bills,AFC East
2018,Ben Roethlisberger,QB,"$17,000,000 ",PIT,Pittsburgh Steelers,AFC North
2018,Andrew Norwell,G,"$17,000,000 ",JAC,Jacksonville Jaguars,AFC South
2018,Weston Richburg,C,"$16,975,000 ",SF,San Francisco 49ers,NFC West
