Year,Player Name,POS,Salary,Team Abbv.,Team Full Name,Divison
2022,Zach Ertz ,TE,"$10,750,000 ",ARI,Arizona Cardinals,NFC West
2022,John Johnson ,SS,"$10,750,000 ",CLE,Cleveland Browns,AFC North
2022,Vita Vea ,DT,"$10,587,294 ",TB,Tampa Bay Buccaneers,NFC South
2022,Jameson Williams ,WR,"$10,584,484 ",DET,Detroit Lions,NFC North
2022,Joel Bitonio ,G,"$10,558,824 ",CLE,Cleveland Browns,AFC North
2022,Wyatt Teller ,G,"$10,500,000 ",CLE,Cleveland Browns,AFC North
2022,Chuks Okorafor ,T,"$10,500,000 ",PIT,Pittsburgh Steelers,AFC North
2022,Travis Kelce ,TE,"$10,500,000 ",KC,Kansas City Chiefs,AFC West
2022,Isaiah Wynn ,LT,"$10,413,000 ",NE,New England Patriots,AFC East
2022,Jordan Davis ,DT,"$10,255,384 ",PHI,Philadelphia Eagles,NFC East
2022,Curtis Samuel ,WR,"$10,225,000 ",WAS,Washington Commanders,NFC East
2022,George Fant ,LT,"$10,102,935 ",NYJ,New York Jets,AFC East
2022,Taysom Hill ,TE,"$10,100,000 ",NO,New Orleans Saints,NFC South
2022,Stephon Gilmore ,CB,"$10,020,000 ",IND,Indianapolis Colts,AFC South
2022,Marcus Peters ,CB,"$10,000,000 ",BAL,Baltimore Ravens,AFC North
2022,Marlon Humphrey ,CB,"$10,000,000 ",BAL,Baltimore Ravens,AFC North
2022,Robert Woods ,WR,"$10,000,000 ",TEN,Tennessee Titans,AFC South
2022,D.J. Jones ,DT,"$10,000,000 ",DEN,Denver Broncos,AFC West
2022,Hunter Henry ,TE,"$10,000,000 ",NE,New England Patriots,AFC East
2022,Jadeveon Clowney ,DE,"$10,000,000 ",CLE,Cleveland Browns,AFC North
2022,James Daniels ,G,"$10,000,000 ",PIT,Pittsburgh Steelers,AFC North
2022,DJ Chark ,WR,"$10,000,000 ",DET,Detroit Lions,NFC North
2022,Sebastian Joseph ,DT,"$10,000,000 ",LAC,Los Angeles Chargers,AFC West
2022,Russell Gage ,WR,"$10,000,000 ",TB,Tampa Bay Buccaneers,NFC South
2022,Jonnu Smith ,TE,"$9,941,168 ",NE,New England Patriots,AFC East
2022,Nelson Agholor ,WR,"$9,882,345 ",NE,New England Patriots,AFC East
2022,Zack Martin ,G,"$9,841,000 ",DAL,Dallas Cowboys,NFC East
2022,Ronald Darby ,CB,"$9,823,521 ",DEN,Denver Broncos,AFC West
2022,Roquan Smith ,ILB,"$9,735,000 ",CHI,Chicago Bears,NFC North
2022,Kyle Hamilton ,S,"$9,706,880 ",BAL,Baltimore Ravens,AFC North
2022,D.J. Reader ,DT,"$9,602,941 ",CIN,Cincinnati Bengals,AFC North
2022,Marcus Davenport ,DE,"$9,553,000 ",NO,New Orleans Saints,NFC South
2022,Ronnie Stanley ,LT,"$9,500,000 ",BAL,Baltimore Ravens,AFC North
2022,Za'Darius Smith ,OLB,"$9,500,000 ",MIN,Minnesota Vikings,NFC North
2022,Kenyon Green ,T,"$9,487,476 ",HOU,Houston Texans,AFC South
2022,Eric Kendricks ,ILB,"$9,484,375 ",MIN,Minnesota Vikings,NFC North
2022,Jimmie Ward ,FS,"$9,470,576 ",SF,San Francisco 49ers,NFC West
2022,Grover Stewart ,DT,"$9,375,000 ",IND,Indianapolis Colts,AFC South
2022,Frank Clark ,DE,"$9,175,000 ",KC,Kansas City Chiefs,AFC West
2022,Dion Dawkins ,LT,"$9,115,294 ",BUF,Buffalo Bills,AFC East
2022,Derwin James ,S,"$9,052,000 ",LAC,Los Angeles Chargers,AFC West
2022,Devin McCourty ,FS,"$9,000,000 ",NE,New England Patriots,AFC East
2022,Connor McGovern ,C,"$9,000,000 ",NYJ,New York Jets,AFC East
2022,Corey Linsley ,C,"$9,000,000 ",LAC,Los Angeles Chargers,AFC West
2022,Marquez Valdes-Scantling ,WR,"$9,000,000 ",KC,Kansas City Chiefs,AFC West
2022,Evan Engram ,TE,"$8,970,590 ",JAC,Jacksonville Jaguars,AFC South
2022,Jahan Dotson ,WR,"$8,829,260 ",WAS,Washington Commanders,NFC East
2022,Dalvin Cook ,RB,"$8,782,353 ",MIN,Minnesota Vikings,NFC North
2022,Tyler Boyd ,WR,"$8,700,000 ",CIN,Cincinnati Bengals,AFC North
2022,Joe Mixon ,RB,"$8,670,589 ",CIN,Cincinnati Bengals,AFC North
2022,Zion Johnson ,G,"$8,609,856 ",LAC,Los Angeles Chargers,AFC West
2022,Christian McCaffrey ,RB,"$8,600,000 ",CAR,Carolina Panthers,NFC South
2022,Braden Smith ,RT,"$8,567,000 ",IND,Indianapolis Colts,AFC South
2022,Da'Ron Payne ,DT,"$8,529,000 ",WAS,Washington Commanders,NFC East
2022,David Onyemata ,DT,"$8,500,000 ",NO,New Orleans Saints,NFC South
2022,Harrison Phillips ,DT,"$8,500,000 ",MIN,Minnesota Vikings,NFC North
2022,Zach Cunningham ,ILB,"$8,470,588 ",TEN,Tennessee Titans,AFC South
2022,Maliek Collins ,DT,"$8,382,360 ",HOU,Houston Texans,AFC South
2022,Matt Milano ,OLB,"$8,345,588 ",BUF,Buffalo Bills,AFC East
2022,Treylon Burks ,WR,"$8,335,612 ",TEN,Tennessee Titans,AFC South
2022,Poona Ford ,DT,"$8,325,000 ",SEA,Pittsburgh Steelers,NFC West
2022,Kenyan Drake ,RB,"$8,250,000 ",LV,Los Angeles Rams,AFC West
2022,Trevor Penning ,T,"$8,171,048 ",NO,New Orleans Saints,NFC South
2022,Kenny Pickett ,QB,"$8,116,204 ",PIT,Pittsburgh Steelers,AFC North
2022,Cody Whitehair ,C,"$8,100,000 ",CHI,Chicago Bears,NFC North
2022,Trent McDuffie ,CB,"$8,061,352 ",KC,Kansas City Chiefs,AFC West
2022,Ben Jones ,C,"$8,000,000 ",TEN,Tennessee Titans,AFC South
2022,Jack Conklin ,RT,"$8,000,000 ",CLE,Cleveland Browns,AFC North
2022,Darious Williams ,CB,"$8,000,000 ",JAC,Jacksonville Jaguars,AFC South
2022,Zay Jones ,WR,"$8,000,000 ",JAC,Jacksonville Jaguars,AFC South
2022,Larry Ogunjobi ,DT,"$8,000,000 ",PIT,Pittsburgh Steelers,AFC North
2022,Myles Jack ,ILB,"$8,000,000 ",PIT,Pittsburgh Steelers,AFC North
2022,Kendall Fuller ,CB,"$8,000,000 ",WAS,Washington Commanders,NFC East
2022,C.J. Uzomah ,TE,"$8,000,000 ",NYJ,New York Jets,AFC East
2022,Tracy Walker ,S,"$8,000,000 ",DET,Detroit Lions,NFC North
2022,Younghoe Koo ,K,"$8,000,000 ",ATL,Atlanta Falcons,NFC South
2022,La'el Collins ,RT,"$8,000,000 ",CIN,Cincinnati Bengals,AFC North
2022,Jordan Mailata ,LT,"$8,000,000 ",PHI,Philadelphia Eagles,NFC East
2022,A'Shawn Robinson ,DT,"$8,000,000 ",LAR,Los Angeles Rams,NFC West
2022,James Conner ,RB,"$7,975,000 ",ARI,Arizona Cardinals,NFC West
2022,Shelby Harris ,DT,"$7,970,576 ",SEA,Pittsburgh Steelers,NFC West
2022,Trent Williams ,LT,"$7,967,647 ",SF,San Francisco 49ers,NFC West
2022,Quay Walker ,LB,"$7,951,648 ",GB,Green Bay Packers,NFC North
2022,Rayshawn Jenkins ,S,"$7,911,765 ",JAC,Jacksonville Jaguars,AFC South
2022,Adrian Amos ,FS,"$7,900,000 ",GB,Green Bay Packers,NFC North
2022,Kaiir Elam ,CB,"$7,841,952 ",BUF,Buffalo Bills,AFC East
2022,Cedrick Wilson ,WR,"$7,750,000 ",MIA,Miami Dolphins,AFC East
2022,Micah Hyde ,SS,"$7,700,000 ",BUF,Buffalo Bills,AFC East
2022,Tyler Smith ,T,"$7,622,544 ",DAL,Dallas Cowboys,NFC East
2022,Marcus Maye ,FS,"$7,600,000 ",NO,New Orleans Saints,NFC South
2022,Tyler Linderbaum ,C,"$7,512,844 ",BAL,Baltimore Ravens,AFC North
2022,Demario Davis ,OLB,"$7,500,000 ",NO,New Orleans Saints,NFC South
2022,Ryan Kelly ,C,"$7,500,000 ",IND,Indianapolis Colts,AFC South
2022,Brandon Graham ,DE,"$7,500,000 ",PHI,Philadelphia Eagles,NFC East
2022,Jermaine Johnson ,DE,"$7,403,140 ",NYJ,New York Jets,AFC East
2022,Shaq Mason ,G,"$7,382,345 ",TB,Tampa Bay Buccaneers,NFC South
2022,Michael Davis ,CB,"$7,352,935 ",LAC,Los Angeles Chargers,AFC West
2022,Chase Roullier ,C,"$7,330,000 ",WAS,Washington Commanders,NFC East
2022,Akiem Hicks ,DE,"$7,294,118 ",TB,Tampa Bay Buccaneers,NFC South
2022,Devin Lloyd ,LB,"$7,293,440 ",JAC,Jacksonville Jaguars,AFC South
2022,James Bradberry ,CB,"$7,250,000 ",PHI,Philadelphia Eagles,NFC East
2022,DaQuan Jones ,DT,"$7,250,000 ",BUF,Buffalo Bills,AFC East
2022,Jordan Whitehead ,S,"$7,250,000 ",NYJ,New York Jets,AFC East
2022,Austin Johnson ,DT,"$7,250,000 ",LAC,Los Angeles Chargers,AFC West
2022,Rob Havenstein ,RT,"$7,250,000 ",LAR,Los Angeles Rams,NFC West
2022,Devonte Wyatt ,DT,"$7,238,588 ",GB,Green Bay Packers,NFC North
2022,Saquon Barkley ,RB,"$7,217,000 ",NYG,New  York Giants,NFC East
2022,Darius Leonard ,ILB,"$7,166,000 ",IND,Indianapolis Colts,AFC South
2022,Patrick Mekari ,G,"$7,100,000 ",BAL,Baltimore Ravens,AFC North
