Year,Player Name,POS,Salary,Team Abbv.,Team Full Name,Divison
2022,Levi Wallace ,CB,"$4,000,000 ",PIT,Pittsburgh Steelers,AFC North
2022,Melvin Ingram ,OLB,"$4,000,000 ",MIA,Miami Dolphins,AFC East
2022,Ahkello Witherspoon ,CB,"$4,000,000 ",PIT,Pittsburgh Steelers,AFC North
2022,Jalen Reeves-Maybin ,OLB,"$4,000,000 ",HOU,Houston Texans,AFC South
2022,Jamaal Williams ,RB,"$4,000,000 ",DET,Detroit Lions,NFC North
2022,Cameron Brate ,TE,"$4,000,000 ",TB,Tampa Bay Buccaneers,NFC South
2022,Robbie Gould ,K,"$4,000,000 ",SF,San Francisco 49ers,NFC West
2022,Mike Hilton ,CB,"$4,000,000 ",CIN,Cincinnati Bengals,AFC North
2022,Patrick Peterson ,CB,"$4,000,000 ",MIN,Minnesota Vikings,NFC North
2022,Jake Elliott ,K,"$4,000,000 ",PHI,Philadelphia Eagles,NFC East
