Year,Name,POS,Salary,Team Abbv.,Team Name,Division
2020,Russell Wilson,QB,"$53,000,000 ",SEA,Seattle Seahawks,NFC West
2020,Joey Bosa,DE,"$43,020,731 ",LAC,Los Angeles Chargers,AFC West
2020,Kirk Cousins,QB,"$40,028,856 ",MIN,Minnesota Vikings,NFC North
2020,Carson Wentz,QB,"$39,383,000 ",PHI,Philadelphia Eagles,NFC East
2020,Ryan Tannehill,QB,"$37,500,000 ",TEN,Tennessee Titans,AFC South
2020,David Bakhtiari,LT,"$36,956,797 ",GB,Green Bay Packers,NFC North
2020,Dak Prescott,QB,"$31,414,653 ",DAL,Dallas Cowboys,NFC East
2020,Jared Goff,QB,"$31,063,078 ",LAR,Los Angeles Rams,NFC West
2020,Ronnie Stanley,LT,"$30,879,358 ",BAL,Baltimore Ravens,AFC North
2020,Deshaun Watson,QB,"$29,417,363 ",HOU,Houston Texans,AFC South
2020,Frank Clark,DE,"$28,417,047 ",KC,Kansas City Chiefs,AFC West
2020,Tom Brady,QB,"$28,375,000 ",TB,Tampa Bay Buccaneers,NFC South
2020,DeAndre Hopkins,WR,"$27,228,881 ",ARI,Arizona Cardinals,NFC West
2020,Kenny Clark,DT,"$26,745,497 ",GB,Green Bay Packers,NFC North
2020,Jalen Ramsey,CB,"$26,290,079 ",LAR,Los Angeles Rams,NFC West
2020,Byron Jones,CB,"$26,032,092 ",MIA,Miami Dolphins,AFC East
2020,Ben Roethlisberger,QB,"$26,000,000 ",PIT,Pittsburgh Steelers,AFC North
2020,Philip Rivers,QB,"$25,026,666 ",IND,Indianapolis Colts,AFC South
2020,Drew Brees,QB,"$25,000,000 ",NO,New Orleans Saints,NFC South
2020,Jimmy Garoppolo,QB,"$24,700,000 ",SF,San Francisco 49ers,NFC West
2020,Joe Burrow,QB,"$24,472,367 ",CIN,Cincinnati Bengals,AFC North
2020,Teddy Bridgewater,QB,"$23,982,702 ",CAR,Carolina Panthers,NFC South
2020,Laremy Tunsil,LT,"$23,889,155 ",HOU,Houston Texans,AFC South
2020,DeForest Buckner,DT,"$23,401,981 ",IND,Indianapolis Colts,AFC South
2020,Chase Young,DE,"$23,307,160 ",WAS,Washington Commanders,NFC East
2020,Jeff Okudah,CB,"$22,559,266 ",DET,Detroit Lions,NFC North
2020,Christian McCaffrey,RB,"$22,337,274 ",CAR,Carolina Panthers,NFC South
2020,D.J. Reader,DT,"$22,265,588 ",CIN,Cincinnati Bengals,AFC North
2020,Julio Jones,WR,"$22,213,963 ",ATL,Atlanta Falcons,NFC South
2020,Marlon Humphrey,CB,"$22,153,145 ",BAL,Baltimore Ravens,AFC North
2020,Garett Bolles,LT,"$22,041,255 ",DEN,Denver Broncos,AFC West
2020,Myles Garrett,DE,"$21,914,442 ",CLE,Cleveland Browns,AFC North
2020,Cameron Heyward,DT,"$21,750,000 ",PIT,Pittsburgh Steelers,AFC North
2020,Andrew Thomas,RT,"$21,694,064 ",NYG,New  York Giants,NFC East
