id,Year,Name,POS,Salary,Team Abbv.,Team Name,Division
137,2015,Nick Mangold,C,"$7,417,030",NYJ,New York Jets,AFC East
138,2015,Jason Pierre-Paul,DE,"$7,358,245",NYG,New  York Giants,NFC East
139,2015,Jared Veldheer,RT,"$7,270,813",ARI,Arizona Cardinals,NFC West
140,2015,Rodger Saffold,G,"$7,255,175",STL,St. Louis Rams,NFC West
141,2015,Danny Shelton,DT,"$7,206,758",CLE,Cleveland Browns,AFC North
142,2015,Andy Dalton,QB,"$7,200,000",CIN,Cincinnati Bengals,AFC North
143,2015,Andrew Whitworth,LT,"$7,200,000",CIN,Cincinnati Bengals,AFC North
144,2015,Rey Maualuga,ILB,"$7,184,375",CIN,Cincinnati Bengals,AFC North
145,2015,Jahri Evans,G,"$7,114,474",NO,New Orleans Saints,NFC South
146,2015,Clint Boling,G,"$7,100,000",CIN,Cincinnati Bengals,AFC North
147,2015,Andy Levitre,G,"$7,056,277",ATL,Atlanta Falcons,NFC South
148,2015,Da'Norris Searcy,SS,"$7,039,559",TEN,Tennessee Titans,AFC South
149,2015,Antonio Cromartie,CB,"$7,027,926",NYJ,New York Jets,AFC East
150,2015,Logan Mankins,G,"$7,020,996",TB,Tampa Bay Buccaneers,NFC South
151,2015,Jared Cook,TE,"$7,014,235",STL,St. Louis Rams,NFC West
152,2015,Andrus Peat,G,"$7,008,250",NO,New Orleans Saints,NFC South
153,2015,Nate Allen,FS,"$7,004,713",OAK,Oakland Raiders,AFC West
154,2015,Paul Kruger,OLB,"$7,000,000",CLE,Cleveland Browns,AFC North
155,2015,DeMarcus Ware,OLB,"$7,000,000",DEN,Denver Broncos,AFC West
156,2015,Everson Griffen,DE,"$7,000,000",MIN,Minnesota Vikings,NFC North
157,2015,John Sullivan,C,"$7,000,000",MIN,Minnesota Vikings,NFC North
158,2015,Duane Brown,LT,"$7,000,000",HOU,Houston Texans,AFC South
159,2015,Muhammad Wilkerson,DE,"$6,997,604",NYJ,New York Jets,AFC East
160,2015,Brooks Reed,DE,"$6,916,189",ATL,Atlanta Falcons,NFC South
161,2015,Prince Amukamara,CB,"$6,913,549",NYG,New  York Giants,NFC East
162,2015,Jarius Wright,WR,"$6,842,000",MIN,Minnesota Vikings,NFC North
163,2015,Jason McCourty,CB,"$6,803,817",TEN,Tennessee Titans,AFC South
164,2015,Reshad Jones,SS,"$6,760,000",MIA,Miami Dolphins,AFC East
165,2015,DeVante Parker,WR,"$6,605,213",MIA,Miami Dolphins,AFC East
166,2015,Ben Grubbs,G,"$6,600,000",KC,Kansas City Chiefs,AFC West
167,2015,Jordan Cameron,TE,"$6,562,500",MIA,Miami Dolphins,AFC East
168,2015,Buster Skrine,CB,"$6,558,413",NYJ,New York Jets,AFC East
169,2015,Curtis Lofton,ILB,"$6,513,678",OAK,Oakland Raiders,AFC West
170,2015,Davon House,CB,"$6,500,000",JAC,Jacksonville Jaguars,AFC South
171,2015,Melvin Gordon,RB,"$6,469,722",SD,San Diego Chargers,AFC West
172,2015,Connor Barwin,OLB,"$6,425,075",PHI,Philadelphia Eagles,NFC East
173,2015,Michael Griffin,FS,"$6,318,973",TEN,Tennessee Titans,AFC South
174,2015,Dwayne Bowe,WR,"$6,250,000",CLE,Cleveland Browns,AFC North
175,2015,Victor Cruz,WR,"$6,225,000",NYG,New  York Giants,NFC East
176,2015,Whitney Mercilus,OLB,"$6,181,012",HOU,Houston Texans,AFC South
177,2015,Julian Edelman,WR,"$6,171,875",NE,New England Patriots,AFC East
178,2015,Arian Foster,RB,"$6,125,000",HOU,Houston Texans,AFC South
179,2015,T.J. Ward,SS,"$6,117,646",DEN,Denver Broncos,AFC West
180,2015,Kevin Johnson,CB,"$6,076,223",HOU,Houston Texans,AFC South
181,2015,Josh Sitton,G,"$6,074,224",GB,Green Bay Packers,NFC North
182,2015,Nick Foles,QB,"$6,069,952",STL,St. Louis Rams,NFC West
183,2015,Malcolm Smith,OLB,"$6,037,979",OAK,Oakland Raiders,AFC West
184,2015,Michael Bennett,DE,"$6,016,742",SEA,Seattle Seahawks,NFC West
185,2015,Anquan Boldin,WR,"$6,015,679",SF,San Francisco 49ers,NFC West
186,2015,Jamaal Charles,RB,"$6,012,500",KC,Kansas City Chiefs,AFC West
187,2015,Lamarr Houston,OLB,"$6,007,167",CHI,Chicago Bears,NFC North
188,2015,Desmond Bryant,DE,"$6,000,000",CLE,Cleveland Browns,AFC North
189,2015,Arthur Jones,DT,"$6,000,000",IND,Indianapolis Colts,AFC South
190,2015,Tamba Hali,OLB,"$6,000,000",KC,Kansas City Chiefs,AFC West
191,2015,Ron Parker,FS,"$6,000,000",KC,Kansas City Chiefs,AFC West
192,2015,Doug Free,RT,"$6,000,000",DAL,Dallas Cowboys,NFC East
193,2015,Geno Atkins,DT,"$6,000,000",CIN,Cincinnati Bengals,AFC North
194,2015,Percy Harvin,WR,"$6,000,000",BUF,Buffalo Bills,AFC East
195,2015,Michael Johnson,DE,"$5,975,000",CIN,Cincinnati Bengals,AFC North
196,2015,Aaron Williams,SS,"$5,975,000",BUF,Buffalo Bills,AFC East
197,2015,Aqib Talib,CB,"$5,968,750",DEN,Denver Broncos,AFC West
198,2015,Lavonte David,OLB,"$5,889,443",TB,Tampa Bay Buccaneers,NFC South
199,2015,Arik Armstead,DE,"$5,888,257",SF,San Francisco 49ers,NFC West
200,2015,Sam Shields,CB,"$5,887,511",GB,Green Bay Packers,NFC North
201,2015,Jermon Bushrod,G,"$5,853,866",CHI,Chicago Bears,NFC North
202,2015,Jabaal Sheard,OLB,"$5,812,500",NE,New England Patriots,AFC East
203,2015,C.J. Spiller,RB,"$5,763,471",NO,New Orleans Saints,NFC South
204,2015,Marcus Peters,CB,"$5,665,296",KC,Kansas City Chiefs,AFC West
205,2015,Cortez Allen,CB,"$5,631,730",PIT,Pittsburgh Steelers,AFC North
206,2015,Lance Kendricks,TE,"$5,619,639",STL,St. Louis Rams,NFC West
207,2015,Ryan Kalil,C,"$5,616,000",CAR,Carolina Panthers,NFC South
208,2015,Nelson Agholor,WR,"$5,582,836",PHI,Philadelphia Eagles,NFC East
209,2015,Cameron Erving,G,"$5,552,502",CLE,Cleveland Browns,AFC North
210,2015,William Beatty,LT,"$5,550,000",NYG,New  York Giants,NFC East
211,2015,Earl Thomas,FS,"$5,522,386",SEA,Seattle Seahawks,NFC West
212,2015,Brandon Mebane,DT,"$5,514,996",SEA,Seattle Seahawks,NFC West
213,2015,Eddie Royal,WR,"$5,509,619",CHI,Chicago Bears,NFC North
214,2015,Marcus Gilbert,RT,"$5,507,251",PIT,Pittsburgh Steelers,AFC North
215,2015,Eugene Monroe,LT,"$5,500,000",BAL,Baltimore Ravens,AFC North
216,2015,Greg Toler,CB,"$5,500,000",IND,Indianapolis Colts,AFC South
217,2015,D'Qwell Jackson,ILB,"$5,500,000",IND,Indianapolis Colts,AFC South
218,2015,Maurkice Pouncey,C,"$5,500,000",PIT,Pittsburgh Steelers,AFC North
219,2015,Cedric Ogbuehi,LT,"$5,477,310",CIN,Cincinnati Bengals,AFC North
220,2015,Bud Dupree,OLB,"$5,464,411",PIT,Pittsburgh Steelers,AFC North
221,2015,Eric Berry,FS,"$5,455,000",KC,Kansas City Chiefs,AFC West
222,2015,Donald Penn,LT,"$5,428,737",OAK,Oakland Raiders,AFC West
223,2015,Andre Smith,G,"$5,362,500",CIN,Cincinnati Bengals,AFC North
224,2015,Shane Ray,OLB,"$5,326,923",DEN,Denver Broncos,AFC West
225,2015,Dominique Rodgers-Cromartie,CB,"$5,267,704",NYG,New  York Giants,NFC East
226,2015,Josh McCown,QB,"$5,250,000",CLE,Cleveland Browns,AFC North
227,2015,Derrick Johnson,ILB,"$5,250,000",KC,Kansas City Chiefs,AFC West
228,2015,Ahmad Brooks,OLB,"$5,229,596",SF,San Francisco 49ers,NFC West
229,2015,Sen'Derrick Marks,DT,"$5,225,000",JAC,Jacksonville Jaguars,AFC South
230,2015,D.J. Humphries,LT,"$5,176,536",ARI,Arizona Cardinals,NFC West
231,2015,Kyle Rudolph,TE,"$5,140,625",MIN,Minnesota Vikings,NFC North
232,2015,Shaq Thompson,OLB,"$5,101,344",CAR,Carolina Panthers,NFC South
233,2015,Jason Witten,TE,"$5,100,000",DAL,Dallas Cowboys,NFC East
234,2015,James Carpenter,G,"$5,094,241",NYJ,New York Jets,AFC East
235,2015,Brian Cushing,ILB,"$5,093,750",HOU,Houston Texans,AFC South
236,2015,Brian Hoyer,QB,"$5,093,750",HOU,Houston Texans,AFC South
237,2015,Marcus Gilchrist,SS,"$5,071,095",NYJ,New York Jets,AFC East
238,2015,Jadeveon Clowney,OLB,"$5,062,045",HOU,Houston Texans,AFC South
239,2015,Byron Jones,CB,"$5,058,212",DAL,Dallas Cowboys,NFC East
240,2015,Dwayne Harris,WR,"$5,058,107",NYG,New  York Giants,NFC East
241,2015,Brandon Browner,CB,"$5,048,601",NO,New Orleans Saints,NFC South
242,2015,Perrish Cox,CB,"$5,033,542",TEN,Tennessee Titans,AFC South
243,2015,Eric Decker,WR,"$5,026,693",NYJ,New York Jets,AFC East
244,2015,Austin Howard,RT,"$5,019,053",OAK,Oakland Raiders,AFC West
245,2015,Russell Okung,LT,"$5,018,838",SEA,Seattle Seahawks,NFC West
246,2015,Martellus Bennett,TE,"$5,013,937",CHI,Chicago Bears,NFC North
247,2015,Antrel Rolle,SS,"$5,009,220",CHI,Chicago Bears,NFC North
248,2015,Andrew Hawkins,WR,"$5,000,000",CLE,Cleveland Browns,AFC North
249,2015,Elvis Dumervil,OLB,"$5,000,000",BAL,Baltimore Ravens,AFC North
250,2015,Kendall Langford,DE,"$5,000,000",IND,Indianapolis Colts,AFC South
251,2015,Louis Vasquez,G,"$5,000,000",DEN,Denver Broncos,AFC West
252,2015,Sam Koch,P,"$5,000,000",BAL,Baltimore Ravens,AFC North
253,2015,Phillip Loadholt,RT,"$5,000,000",MIN,Minnesota Vikings,NFC North
254,2015,Cole Beasley,WR,"$5,000,000",DAL,Dallas Cowboys,NFC East
255,2015,Vince Wilfork,DT,"$5,000,000",HOU,Houston Texans,AFC South
256,2015,Rahim Moore,FS,"$5,000,000",HOU,Houston Texans,AFC South
257,2015,Zane Beadles,G,"$5,000,000",JAC,Jacksonville Jaguars,AFC South
258,2015,Chris Clemons,DE,"$5,000,000",JAC,Jacksonville Jaguars,AFC South
259,2015,Breshad Perriman,WR,"$4,977,962",BAL,Baltimore Ravens,AFC North
260,2015,Justin Tuck,DE,"$4,976,463",OAK,Oakland Raiders,AFC West
261,2015,Paul Posluszny,OLB,"$4,937,500",JAC,Jacksonville Jaguars,AFC South
262,2015,Sebastian Vollmer,RT,"$4,937,500",NE,New England Patriots,AFC East
263,2015,Laken Tomlinson,G,"$4,913,359",DET,Detroit Lions,NFC North
264,2015,Shane Vereen,RB,"$4,874,120",NYG,New  York Giants,NFC East
265,2015,Emmanuel Sanders,WR,"$4,850,000",DEN,Denver Broncos,AFC West
266,2015,Eric Wood,C,"$4,850,000",BUF,Buffalo Bills,AFC East
267,2015,Rob Ninkovich,OLB,"$4,838,235",NE,New England Patriots,AFC East
268,2015,Keenan Lewis,CB,"$4,802,975",NO,New Orleans Saints,NFC South
269,2015,Nick Fairley,DT,"$4,762,851",STL,St. Louis Rams,NFC West
270,2015,Mark Sanchez,QB,"$4,758,332",PHI,Philadelphia Eagles,NFC East
271,2015,Owen Daniels,TE,"$4,750,000",DEN,Denver Broncos,AFC West
272,2015,Sean Smith,CB,"$4,750,000",KC,Kansas City Chiefs,AFC West
273,2015,Navorro Bowman,ILB,"$4,718,856",SF,San Francisco 49ers,NFC West
274,2015,T.J. Lang,G,"$4,707,260",GB,Green Bay Packers,NFC North
275,2015,Brian Robison,DE,"$4,650,000",MIN,Minnesota Vikings,NFC North
276,2015,Jurrell Casey,DT,"$4,619,775",TEN,Tennessee Titans,AFC South
277,2015,Phillip Dorsett,WR,"$4,611,665",IND,Indianapolis Colts,AFC South
278,2015,Dan Skuta,OLB,"$4,600,000",JAC,Jacksonville Jaguars,AFC South
279,2015,Max Unger,C,"$4,546,984",NO,New Orleans Saints,NFC South
280,2015,Breno Giacomini,RT,"$4,543,722",NYJ,New York Jets,AFC East
281,2015,Damarious Randall,FS,"$4,542,582",GB,Green Bay Packers,NFC North
282,2015,Mark Ingram,RB,"$4,519,906",NO,New Orleans Saints,NFC South
283,2015,Antonio Gates,TE,"$4,518,942",SD,San Diego Chargers,AFC West
284,2015,Jonathan Stewart,RB,"$4,510,506",CAR,Carolina Panthers,NFC South
285,2015,Donte Whitner,SS,"$4,500,000",CLE,Cleveland Browns,AFC North
286,2015,Frank Gore,RB,"$4,500,000",IND,Indianapolis Colts,AFC South
287,2015,Stephen Tulloch,ILB,"$4,500,000",DET,Detroit Lions,NFC North
288,2015,Jerod Mayo,ILB,"$4,500,000",NE,New England Patriots,AFC East
289,2015,Charles Woodson,SS,"$4,481,369",OAK,Oakland Raiders,AFC West
290,2015,Gary Barnidge,TE,"$4,450,000",CLE,Cleveland Browns,AFC North
291,2015,Stephone Anthony,OLB,"$4,415,645",NO,New Orleans Saints,NFC South
292,2015,Blair Walsh,K,"$4,410,000",MIN,Minnesota Vikings,NFC North
293,2015,Vontaze Burfict,OLB,"$4,400,000",CIN,Cincinnati Bengals,AFC North
294,2015,Delanie Walker,TE,"$4,394,903",TEN,Tennessee Titans,AFC South
295,2015,Jerraud Powers,CB,"$4,375,818",ARI,Arizona Cardinals,NFC West
296,2015,Kenny Britt,WR,"$4,326,890",STL,St. Louis Rams,NFC West
297,2015,Alterraun Verner,CB,"$4,272,598",TB,Tampa Bay Buccaneers,NFC South
298,2015,Bruce Carter,ILB,"$4,266,389",TB,Tampa Bay Buccaneers,NFC South
299,2015,Malcom Brown,DT,"$4,231,894",NE,New England Patriots,AFC East
300,2015,Ryan Mathews,RB,"$4,211,111",PHI,Philadelphia Eagles,NFC East
301,2015,Will Hill,SS,"$4,166,045",BAL,Baltimore Ravens,AFC North
302,2015,Reggie Nelson,FS,"$4,150,000",CIN,Cincinnati Bengals,AFC North
303,2015,Stevie Johnson,WR,"$4,139,377",SD,San Diego Chargers,AFC West
304,2015,Kam Chancellor,SS,"$4,138,463",SEA,Seattle Seahawks,NFC West
305,2015,Michael Crabtree,WR,"$4,127,809",OAK,Oakland Raiders,AFC West
306,2015,Mike Mitchell,FS,"$4,070,220",PIT,Pittsburgh Steelers,AFC North
307,2015,Malcolm Jenkins,FS,"$4,039,960",PHI,Philadelphia Eagles,NFC East
308,2015,Heath Miller,TE,"$4,037,256",PIT,Pittsburgh Steelers,AFC North
309,2015,Dashon Goldson,FS,"$4,034,624",WAS,Washington Commanders,NFC East
310,2015,J.T. Thomas,OLB,"$4,033,999",NYG,New  York Giants,NFC East
311,2015,DeMeco Ryans,ILB,"$4,033,435",PHI,Philadelphia Eagles,NFC East
312,2015,Ricky Jean Francois,DT,"$4,029,837",WAS,Washington Commanders,NFC East
313,2015,Riley Cooper,WR,"$4,027,083",PHI,Philadelphia Eagles,NFC East
314,2015,DeAngelo Hall,CB,"$4,011,624",WAS,Washington Commanders,NFC East
315,2015,Brett Kern,P,"$4,010,424",TEN,Tennessee Titans,AFC South
316,2015,Sammie Lee Hill,DT,"$4,007,119",TEN,Tennessee Titans,AFC South
317,2015,Karlos Dansby,ILB,"$4,000,000",CLE,Cleveland Browns,AFC North
318,2015,Robert Mathis,OLB,"$4,000,000",IND,Indianapolis Colts,AFC South
319,2015,Dennis Pitta,TE,"$4,000,000",BAL,Baltimore Ravens,AFC North
320,2015,Erik Walden,OLB,"$4,000,000",IND,Indianapolis Colts,AFC South
321,2015,Terrell Suggs,OLB,"$4,000,000",BAL,Baltimore Ravens,AFC North
322,2015,Corey Peters,DT,"$4,000,000",ARI,Arizona Cardinals,NFC West
323,2015,Linval Joseph,DT,"$4,000,000",MIN,Minnesota Vikings,NFC North
324,2015,Captain Munnerlyn,CB,"$4,000,000",MIN,Minnesota Vikings,NFC North
325,2015,Orlando Scandrick,CB,"$4,000,000",DAL,Dallas Cowboys,NFC East
326,2015,Glover Quin,FS,"$4,000,000",DET,Detroit Lions,NFC North
