id,Year,Name,POS,Salary,Team Abbv.,Team Name,Division
1,2015,Eli Manning,QB,"$37,010,004",NYG,New  York Giants,NFC East
2,2015,Ben Roethlisberger,QB,"$35,257,482",PIT,Pittsburgh Steelers,AFC North
3,2015,Philip Rivers,QB,"$32,007,656",SD,San Diego Chargers,AFC West
4,2015,Russell Wilson,QB,"$31,722,469",SEA,Seattle Seahawks,NFC West
5,2015,A.J. Green,WR,"$26,750,000",CIN,Cincinnati Bengals,AFC North
6,2015,Ndamukong Suh,DT,"$26,500,000",MIA,Miami Dolphins,AFC East
7,2015,Marcell Dareus,DT,"$25,176,470",BUF,Buffalo Bills,AFC East
8,2015,Cam Newton,QB,"$24,000,000",CAR,Carolina Panthers,NFC South
9,2015,Julio Jones,WR,"$22,010,829",ATL,Atlanta Falcons,NFC South
10,2015,Jay Cutler,QB,"$20,506,780",CHI,Chicago Bears,NFC North
11,2015,Luke Kuechly,ILB,"$20,000,000",CAR,Carolina Panthers,NFC South
12,2015,J.J. Watt,DE,"$19,969,000",HOU,Houston Texans,AFC South
13,2015,Ryan Kerrigan,OLB,"$19,057,176",WAS,Washington Commanders,NFC East
14,2015,Drew Brees,QB,"$19,005,422",NO,New Orleans Saints,NFC South
15,2015,Peyton Manning,QB,"$19,000,000",DEN,Denver Broncos,AFC West
16,2015,Anthony Castonzo,LT,"$18,000,000",IND,Indianapolis Colts,AFC South
17,2015,Tony Romo,QB,"$17,002,458",DAL,Dallas Cowboys,NFC East
18,2015,Cameron Jordan,DE,"$17,001,067",NO,New Orleans Saints,NFC South
19,2015,Marcus Mariota,QB,"$16,330,324",TEN,Tennessee Titans,AFC South
20,2015,Cameron Heyward,DT,"$16,027,707",PIT,Pittsburgh Steelers,AFC North
21,2015,Darrelle Revis,CB,"$16,011,630",NYJ,New York Jets,AFC East
22,2015,Dez Bryant,WR,"$16,000,000",DAL,Dallas Cowboys,NFC East
23,2015,LeSean McCoy,RB,"$16,000,000",BUF,Buffalo Bills,AFC East
24,2015,Robert Quinn,OLB,"$15,792,100",STL,St. Louis Rams,NFC West
25,2015,Dante Fowler Jr.,DE,"$15,661,820",JAC,Jacksonville Jaguars,AFC South
26,2015,Amari Cooper,WR,"$15,208,644",OAK,Oakland Raiders,AFC West
27,2015,Randall Cobb,WR,"$15,127,948",GB,Green Bay Packers,NFC North
28,2015,Trent Williams,LT,"$15,111,383",WAS,Washington Commanders,NFC East
29,2015,Julius Thomas,TE,"$15,100,000",JAC,Jacksonville Jaguars,AFC South
30,2015,Rob Gronkowski,TE,"$15,014,803",NE,New England Patriots,AFC East
31,2015,Demaryius Thomas,WR,"$15,000,000",DEN,Denver Broncos,AFC West
32,2015,Kareem Jackson,CB,"$14,187,500",HOU,Houston Texans,AFC South
33,2015,Brandon Scherff,G,"$14,161,626",WAS,Washington Commanders,NFC East
34,2015,Gerald McCoy,DT,"$14,008,033",TB,Tampa Bay Buccaneers,NFC South
35,2015,Mario Williams,DE,"$14,000,000",BUF,Buffalo Bills,AFC East
36,2015,Nate Solder,LT,"$13,938,000",NE,New England Patriots,AFC East
37,2015,Corey Liuget,DT,"$13,633,112",SD,San Diego Chargers,AFC West
38,2015,Mike Daniels,DT,"$13,576,475",GB,Green Bay Packers,NFC North
39,2015,Byron Maxwell,CB,"$13,517,403",PHI,Philadelphia Eagles,NFC East
40,2015,Jimmy Smith,CB,"$13,388,235",BAL,Baltimore Ravens,AFC North
41,2015,Tom Brady,QB,"$13,010,663",NE,New England Patriots,AFC East
42,2015,Rodney Hudson,C,"$13,008,716",OAK,Oakland Raiders,AFC West
43,2015,DeAndre Levy,OLB,"$13,000,591",DET,Detroit Lions,NFC North
44,2015,Greg Olsen,TE,"$13,000,000",CAR,Carolina Panthers,NFC South
45,2015,Justin Houston,OLB,"$13,000,000",KC,Kansas City Chiefs,AFC West
46,2015,Jeremy Maclin,WR,"$13,000,000",KC,Kansas City Chiefs,AFC West
47,2015,Adrian Peterson,RB,"$13,000,000",MIN,Minnesota Vikings,NFC North
48,2015,Charles Clay,TE,"$13,000,000",BUF,Buffalo Bills,AFC East
49,2015,Sam Bradford,QB,"$12,998,119",PHI,Philadelphia Eagles,NFC East
50,2015,Devin McCourty,FS,"$12,937,500",NE,New England Patriots,AFC East
51,2015,Calvin Johnson,WR,"$12,500,000",DET,Detroit Lions,NFC North
52,2015,Leonard Williams,DE,"$12,296,300",NYJ,New York Jets,AFC East
53,2015,Ryan Tannehill,QB,"$12,160,000",MIA,Miami Dolphins,AFC East
54,2015,Colin Kaepernick,QB,"$12,054,920",SF,San Francisco 49ers,NFC West
55,2015,Marshawn Lynch,RB,"$12,005,467",SEA,Seattle Seahawks,NFC West
56,2015,Alex Smith,QB,"$12,000,000",KC,Kansas City Chiefs,AFC West
57,2015,Jerry Hughes,DE,"$11,775,000",BUF,Buffalo Bills,AFC East
58,2015,Patrick Peterson,CB,"$11,731,541",ARI,Arizona Cardinals,NFC West
59,2015,Aaron Rodgers,QB,"$11,608,773",GB,Green Bay Packers,NFC North
60,2015,Carson Palmer,QB,"$11,521,480",ARI,Arizona Cardinals,NFC West
61,2015,Mike Iupati,G,"$11,519,857",ARI,Arizona Cardinals,NFC West
62,2015,Matt Ryan,QB,"$11,507,925",ATL,Atlanta Falcons,NFC South
63,2015,Jameis Winston,QB,"$11,320,269",TB,Tampa Bay Buccaneers,NFC South
64,2015,Marshal Yanda,G,"$11,231,764",BAL,Baltimore Ravens,AFC North
65,2015,Joe Staley,LT,"$11,219,138",SF,San Francisco 49ers,NFC West
66,2015,Tyron Smith,LT,"$11,039,000",DAL,Dallas Cowboys,NFC East
67,2015,Orlando Franklin,G,"$11,019,588",SD,San Diego Chargers,AFC West
68,2015,Larry Fitzgerald,WR,"$11,013,887",ARI,Arizona Cardinals,NFC West
69,2015,Joe Flacco,QB,"$11,000,000",BAL,Baltimore Ravens,AFC North
70,2015,T.Y. Hilton,WR,"$11,000,000",IND,Indianapolis Colts,AFC South
71,2015,Mike Pouncey,C,"$11,000,000",MIA,Miami Dolphins,AFC East
72,2015,Kevin White,WR,"$10,740,852",CHI,Chicago Bears,NFC North
73,2015,Tyrone Crawford,DE,"$10,685,000",DAL,Dallas Cowboys,NFC East
74,2015,Brandon Flowers,CB,"$10,273,068",SD,San Diego Chargers,AFC West
75,2015,Thomas Davis,OLB,"$10,250,000",CAR,Carolina Panthers,NFC South
76,2015,Torrey Smith,WR,"$10,030,450",SF,San Francisco 49ers,NFC West
77,2015,Richard Sherman,CB,"$10,014,191",SEA,Seattle Seahawks,NFC West
78,2015,Chris Long,DE,"$10,006,160",STL,St. Louis Rams,NFC West
79,2015,Charles Johnson,DE,"$10,002,843",CAR,Carolina Panthers,NFC South
80,2015,Vontae Davis,CB,"$10,000,000",IND,Indianapolis Colts,AFC South
81,2015,Ryan Clady,LT,"$10,000,000",DEN,Denver Broncos,AFC West
82,2015,Bryan Bulaga,RT,"$9,909,293",GB,Green Bay Packers,NFC North
83,2015,Mike Wallace,WR,"$9,900,000",MIN,Minnesota Vikings,NFC North
84,2015,Vincent Jackson,WR,"$9,783,664",TB,Tampa Bay Buccaneers,NFC South
85,2015,Von Miller,OLB,"$9,754,000",DEN,Denver Broncos,AFC West
86,2015,Julius Peppers,DE,"$9,509,906",GB,Green Bay Packers,NFC North
87,2015,Matthew Stafford,QB,"$9,500,000",DET,Detroit Lions,NFC North
88,2015,Vic Beasley,DE,"$9,267,846",ATL,Atlanta Falcons,NFC South
89,2015,Calais Campbell,DE,"$9,260,378",ARI,Arizona Cardinals,NFC West
90,2015,Ereck Flowers,RT,"$9,212,450",NYG,New  York Giants,NFC East
91,2015,Cameron Wake,DE,"$9,050,000",MIA,Miami Dolphins,AFC East
92,2015,Mychal Kendricks,OLB,"$9,033,302",PHI,Philadelphia Eagles,NFC East
93,2015,Bobby Wagner,ILB,"$9,028,070",SEA,Seattle Seahawks,NFC West
94,2015,Brandon Graham,DE,"$9,025,925",PHI,Philadelphia Eagles,NFC East
95,2015,Branden Albert,LT,"$9,025,000",MIA,Miami Dolphins,AFC East
96,2015,Brandon Marshall,WR,"$9,022,441",NYJ,New York Jets,AFC East
97,2015,DeMarco Murray,RB,"$9,016,609",PHI,Philadelphia Eagles,NFC East
98,2015,Joe Thomas,LT,"$9,000,000",CLE,Cleveland Browns,AFC North
99,2015,Kyle Williams,DT,"$9,000,000",BUF,Buffalo Bills,AFC East
100,2015,Jared Odrick,DE,"$9,000,000",JAC,Jacksonville Jaguars,AFC South
101,2015,Todd Gurley,RB,"$8,779,938",STL,St. Louis Rams,NFC West
102,2015,King Dunlap,LT,"$8,730,526",SD,San Diego Chargers,AFC West
103,2015,Pernell McPhee,OLB,"$8,685,944",CHI,Chicago Bears,NFC North
104,2015,Clay Matthews Jr.,OLB,"$8,612,789",GB,Green Bay Packers,NFC North
105,2015,Derrick Morgan,OLB,"$8,520,835",TEN,Tennessee Titans,AFC South
106,2015,Joe Haden,CB,"$8,500,000",CLE,Cleveland Browns,AFC North
107,2015,Haloti Ngata,DT,"$8,500,000",DET,Detroit Lions,NFC North
108,2015,Brent Grimes,CB,"$8,500,000",MIA,Miami Dolphins,AFC East
109,2015,Brian Orakpo,OLB,"$8,250,275",TEN,Tennessee Titans,AFC South
110,2015,Lardarius Webb,CB,"$8,250,000",BAL,Baltimore Ravens,AFC North
111,2015,Matt Forte,RB,"$8,207,521",CHI,Chicago Bears,NFC North
112,2015,Jairus Byrd,FS,"$8,118,854",NO,New Orleans Saints,NFC South
113,2015,Trae Waynes,CB,"$8,109,086",MIN,Minnesota Vikings,NFC North
114,2015,Stephen Gostkowski,K,"$8,100,000",NE,New England Patriots,AFC East
115,2015,Jason Peters,LT,"$8,064,598",PHI,Philadelphia Eagles,NFC East
116,2015,Blake Bortles,QB,"$8,029,691",JAC,Jacksonville Jaguars,AFC South
117,2015,Jimmy Graham,TE,"$8,011,031",SEA,Seattle Seahawks,NFC West
118,2015,Dan Williams,DT,"$8,010,908",OAK,Oakland Raiders,AFC West
119,2015,Stephen Paea,DT,"$8,007,249",WAS,Washington Commanders,NFC East
120,2015,DeSean Jackson,WR,"$8,005,251",WAS,Washington Commanders,NFC East
121,2015,Alex Mack,C,"$8,000,000",CLE,Cleveland Browns,AFC North
122,2015,Brandon Carr,CB,"$8,000,000",DAL,Dallas Cowboys,NFC East
123,2015,Johnathan Joseph,CB,"$8,000,000",HOU,Houston Texans,AFC South
124,2015,Jermey Parnell,RT,"$8,000,000",JAC,Jacksonville Jaguars,AFC South
125,2015,Trent Cole,OLB,"$7,953,125",IND,Indianapolis Colts,AFC South
126,2015,Chris Culliver,CB,"$7,833,948",WAS,Washington Commanders,NFC East
127,2015,Leon Hall,CB,"$7,800,000",CIN,Cincinnati Bengals,AFC North
128,2015,D'Brickashaw Ferguson,LT,"$7,719,221",NYJ,New York Jets,AFC East
129,2015,David Harris,ILB,"$7,527,608",NYJ,New York Jets,AFC East
130,2015,Lawrence Timmons,ILB,"$7,519,288",PIT,Pittsburgh Steelers,AFC North
131,2015,Cliff Avril,DE,"$7,516,497",SEA,Seattle Seahawks,NFC West
132,2015,Eric Weddle,FS,"$7,513,039",SD,San Diego Chargers,AFC West
133,2015,Pierre Garcon,WR,"$7,510,524",WAS,Washington Commanders,NFC East
134,2015,Andre Johnson,WR,"$7,500,000",IND,Indianapolis Colts,AFC South
135,2015,Derek Newton,RT,"$7,500,000",HOU,Houston Texans,AFC South
136,2015,Tramon Williams,CB,"$7,481,250",CLE,Cleveland Browns,AFC North
